,line_text,spans,x0,y0,x1,y1,page,x0_type,x1_type,label
37,31 July) ,['31 July) '],86.16,466.54,115.34,477.21,1,1,0,end
38,"[Amend the Social Security (Benefits) Regulations 1981 in regard to, in particular, sickness ","['[Amend the Social Security (Benefits) Regulations 1981 in regard to, in particular, sickness ']",86.4,479.02,404.5,489.69,1,1,2,middle
39,"benefit, maternity benefit, invalidity benefit, survivor's benefit and contributions.] ","[""benefit, maternity benefit, invalidity benefit, survivor's benefit and contributions.] ""]",85.92,487.42,367.9,498.09,1,1,1,end
40,28/VII/1986  The Social Security (Contributions) (Amendment) Regulations 1986. S.R.O. No. 5. ,"['28/VII/1986 ', 'The Social Security (Contributions) (Amendment) Regulations 1986. S.R.O. No. 5. ']",73.92,500.14,404.06,510.81,1,0,2,start
41,(ibid.) ,['(ibid.) '],85.92,508.54,108.08,519.21,1,1,0,end
42,[Amend the Social Security (Contributions) Regulations 1981 in various minor respects.] ,['[Amend the Social Security (Contributions) Regulations 1981 in various minor respects.] '],86.4,521.02,393.34,531.69,1,1,1,end
43,28/VII/1986  The Social Security (Financial and Accounting) (Amendment) Regulations 1986. ,"['28/VII/1986 ', 'The Social Security (Financial and Accounting) (Amendment) Regulations 1986. ']",73.92,533.5,404.06,544.17,1,0,2,start
44,S.R.O. No. 6. (ibid.) ,['S.R.O. No. 6. (ibid.) '],85.92,541.9,158.78,552.57,1,1,0,end
45,[Amend the Social Security (Financial and Accounting) Regulations 1981 in regard to the Social ,['[Amend the Social Security (Financial and Accounting) Regulations 1981 in regard to the Social '],86.4,554.38,403.9,565.05,1,1,2,middle
46,Security Development Fund and related matters.] ,['Security Development Fund and related matters.] '],85.92,562.54,258.7,573.21,1,1,1,end
47,28/VII/1986  The Social Security (Modifications of Insurance and Voluntary Contributions) ,"['28/VII/1986 ', 'The Social Security (Modifications of Insurance and Voluntary Contributions) ']",73.92,575.26,404.07,585.93,1,0,2,start
48,(Amendment) Regulations 1986. S.R.O. No. 7. (ibid.) ,['(Amendment) Regulations 1986. S.R.O. No. 7. (ibid.) '],85.68,583.66,272.31,594.33,1,1,1,end
49,[Miscellaneous amendments.] ,['[Miscellaneous amendments.] '],86.16,595.9,188.86,606.57,1,1,0,end
50,1987—List No. 3  4  (110) ,"['1987—List No. 3 ', '4 ', '(110) ']",77.52,38.86,406.23,49.53,2,0,2,start
51,ARGENTINA  (coni.) ,"['ARGENTINA', ' (coni.) ']",74.88,62.86,151.82,74.01,2,0,0,country
52,"20,  XI, 1985  Decree No. 2224 to set up a provisional scheme for the voluntary submission of ","['20,', ' XI, 1985 ', 'Decree No. 2224 to set up a provisional scheme for the voluntary submission of ']",74.88,75.1,405.93,85.77,2,0,2,start
53,applications for the revision of collective bargaining agreements under the supervision of the ,['applications for the revision of collective bargaining agreements under the supervision of the '],86.64,83.5,405.65,94.17,2,1,2,middle
54,"Ministry of Labour and Social Security, (ibid.. 25 Nov.) ","['Ministry of Labour and Social Security, (ibid.. 25 Nov.) ']",87.12,91.9,282.38,102.57,2,1,1,end
55,[The Decree refers to the austerity programme recently embarked upon by the Government to ,['[The Decree refers to the austerity programme recently embarked upon by the Government to '],87.36,104.62,405.68,115.29,2,1,2,middle
56,reduce inflation. It indicates that existing collective bargaining agreements have become out of ,['reduce inflation. It indicates that existing collective bargaining agreements have become out of '],87.12,113.02,405.57,123.69,2,1,2,middle
57,date because of developments in the past years. It establishes a provisional scheme for voluntary ,['date because of developments in the past years. It establishes a provisional scheme for voluntary '],86.88,121.42,405.47,132.09,2,1,2,middle
58,"acceptances, under the Ministry of Labour, with a view to reconciling national economic ","['acceptances, under the Ministry of Labour, with a view to reconciling national economic ']",86.88,129.82,405.67,140.49,2,1,2,middle
59,interests with the need for the revision of such agreements. Earlier collective agreements and the ,['interests with the need for the revision of such agreements. Earlier collective agreements and the '],87.12,138.22,405.65,148.89,2,1,2,middle
60,new claims submitted by workers and employers may be referred to a bipartite commission ,['new claims submitted by workers and employers may be referred to a bipartite commission '],87.12,146.62,405.46,157.29,2,1,2,middle
61,attached to the Ministry. Collective bargaining will be conducted under the auspices of the ,['attached to the Ministry. Collective bargaining will be conducted under the auspices of the '],86.88,155.02,405.89,165.69,2,1,2,middle
62,"commission, and an agreement must be reached within 45 days. The Ministry may otherwise ","['commission, and an agreement must be reached within 45 days. The Ministry may otherwise ']",86.88,163.42,405.89,174.09,2,1,2,middle
63,take measures tending to achieve this result. Before a new agreement can be authenticated by the ,['take measures tending to achieve this result. Before a new agreement can be authenticated by the '],86.88,171.82,405.89,182.49,2,1,2,middle
64,"executive authority, the employers must estimate the costs which the planned amendments of ","['executive authority, the employers must estimate the costs which the planned amendments of ']",86.88,180.22,405.57,190.89,2,1,2,middle
65,"the agreement's clauses imply, specifying where appropriate the standards of productivity which ","[""the agreement's clauses imply, specifying where appropriate the standards of productivity which ""]",86.88,188.62,405.23,199.29,2,1,2,middle
66,would make such adjustments possible. Collective bargaining agreements renegotiated under ,['would make such adjustments possible. Collective bargaining agreements renegotiated under '],86.88,197.02,405.61,207.69,2,1,2,middle
67,this scheme will remain valid for two years.) ,['this scheme will remain valid for two years.) '],87.12,205.42,241.82,216.09,2,1,1,end
68,"20.XII, 1985 Decree No. 2432. to amend s. 5 of Decree No. 1961 of 1983. concerning the ","['20.XII, 1985 Decree No. 2432. to amend s. 5 of Decree No. 1961 of 1983. concerning the ']",75.36,218.86,405.65,229.53,2,0,2,start
69,"comprehensive protection scheme concerning handicapped persons, (ibid.. 30 Dec.) ","['comprehensive protection scheme concerning handicapped persons, (ibid.. 30 Dec.) ']",86.88,227.26,374.78,237.93,2,1,1,end
70,23/XII/1985  Resolution No. 1051 of the Ministry of Labour and Social Security to approve ,"['23/XII/1985 ', 'Resolution No. 1051 of the Ministry of Labour and Social Security to approve ']",75.36,239.74,405.89,250.41,2,0,2,start
71,structural arrangements for the functioning of the National Directorates of Labour ,['structural arrangements for the functioning of the National Directorates of Labour '],87.12,248.38,405.61,259.05,2,1,2,middle
72,"Enforcement Officers and of Human Resources and Employment, (ibid.. 8 Jan. 1986) ","['Enforcement Officers and of Human Resources and Employment, (ibid.. 8 Jan. 1986) ']",87.6,257.02,383.18,267.69,2,1,1,end
73,"[Charts showing structure, purpose and functions appear in appendices.] ","['[Charts showing structure, purpose and functions appear in appendices.] ']",87.84,269.26,339.82,279.93,2,1,1,end
74,"6,  V,  1986  Decree No. 667 instituting a conditional and variable wage supplement for workers in ","['6,', ' V,', ' 1986 ', 'Decree No. 667 instituting a conditional and variable wage supplement for workers in ']",75.36,281.74,406.06,292.41,2,0,2,start
75,"the public and private sectors, mandatory as from I April 1986. (ibid.. 12 May) ","['the public and private sectors, mandatory as from I April 1986. (ibid.. 12 May) ']",87.36,290.14,364.23,300.81,2,1,1,end
76,[Domestic workers and those in the agricultural sector arc excluded from coverage.] ,['[Domestic workers and those in the agricultural sector arc excluded from coverage.] '],87.84,302.86,379.42,313.53,2,1,1,end
77,AUSTRALIA ,['AUSTRALIA '],75.84,327.17,125.09,338.25,2,0,0,country
78,5/1X/1985  Social Security and Repatriation Legislation Amendment Act 1985. No. 95. ,"['5/1X/1985 ', 'Social Security and Repatriation Legislation Amendment Act 1985. No. 95. ']",75.6,339.34,380.31,350.01,2,0,1,other
79,[Contains amendments to the Compensation (Commonwealth Government Employees) Act ,['[Contains amendments to the Compensation (Commonwealth Government Employees) Act '],88.08,351.58,404.68,362.25,2,1,2,middle
80,"1971 (Part VI), the Handicapped Persons Assistance Act 1974 (Part VI11), the Health Insurance ","['1971 (Part VI), the Handicapped Persons Assistance Act 1974 (Part VI11), the Health Insurance ']",88.32,359.74,404.93,370.41,2,1,2,middle
81,Act 1973 (Part IX) and the Social Security Act 1947 (Part XVIII). Other minor amendments.] ,['Act 1973 (Part IX) and the Social Security Act 1947 (Part XVIII). Other minor amendments.] '],87.6,367.9,405.58,378.57,2,1,2,middle
82,28/X/I985  Medicare Levy Act 1985. No. 126. ,"['28/X/I985 ', 'Medicare Levy Act 1985. No. 126. ']",75.84,380.62,239.66,391.29,2,0,0,country
83,[An Act to impose a medicare levy upon certain incomes.] ,['[An Act to impose a medicare levy upon certain incomes.] '],88.32,393.34,291.34,404.01,2,1,1,end
84,28/X/1985  Social Security and Repatriation (Budget Measures) Amendment Act 1985. No. 127. ,"['28/X/1985 ', 'Social Security and Repatriation (Budget Measures) Amendment Act 1985. No. 127. ']",75.84,405.82,405.02,416.49,2,0,2,start
85,"[Amendments to the Aged or Disabled Persons Homes Act 1954 (ss. 3-6), the National Health ","['[Amendments to the Aged or Disabled Persons Homes Act 1954 (ss. 3-6), the National Health ']",88.32,418.54,404.51,429.21,2,1,2,middle
86,"Act 1953 (ss. 7-11), the Repatriation Act 1920 (ss. 12-32) and the Social Security Act 1947 ","['Act 1953 (ss. 7-11), the Repatriation Act 1920 (ss. 12-32) and the Social Security Act 1947 ']",87.6,426.94,405.06,437.61,2,1,2,middle
87,(ss.  39-74).] ,"['(ss.', ' 39-74).] ']",87.36,435.34,131.98,446.01,2,1,0,end
88,5/XII/I985  Repatriation Legislation Amendment (Extension of Operation) Act 1985. No.157. ,"['5/XII/I985 ', 'Repatriation Legislation Amendment (Extension of Operation) Act 1985. No.157. ']",76.08,447.58,404.78,458.25,2,0,2,start
89,"[Substitutes ""  12  months"" for ""6 months"" in s. 72 of the Repatriation Legislation Amendment ","['[Substitutes ""', ' 12', ' months"" for ""6 months"" in s. 72 of the Repatriation Legislation Amendment ']",88.56,459.82,404.68,470.49,2,1,2,middle
90,Act 1985. No. 90.] ,['Act 1985. No. 90.] '],87.84,468.22,153.82,478.89,2,1,0,end
91,I1/X11/1985  Child Care Amendment Act 1985. No. 158. ,"['I1/X11/1985 ', 'Child Care Amendment Act 1985. No. 158. ']",77.04,480.7,276.86,491.37,2,0,1,other
92,"[Replaces  s.  11 of the Child Care Act 1972, concerning grants for recurrent expenditure; amends ","['[Replaces', ' s.', ' 11 of the Child Care Act 1972, concerning grants for recurrent expenditure; amends ']",88.56,493.18,405.46,503.85,2,1,2,middle
93,"s. 20 regarding conditions relating to grants; inserts new s. 20B concerning overpayments, and ","['s. 20 regarding conditions relating to grants; inserts new s. 20B concerning overpayments, and ']",87.84,501.58,404.68,512.25,2,1,2,middle
94,contains transitional provisions.] ,['contains transitional provisions.] '],87.6,509.98,202.54,520.65,2,1,0,end
95,I6/XII/1985  Social Security (Poverty Traps Reduction) Act 1985. No. 169. ,"['I6/XII/1985 ', 'Social Security (Poverty Traps Reduction) Act 1985. No. 169. ']",77.28,522.7,340.22,533.37,2,0,1,other
96,"[Various amendments to the Social Security Act 1947, respecting rent assistance, widows' ","[""[Various amendments to the Social Security Act 1947, respecting rent assistance, widows' ""]",88.56,535.18,405.26,545.85,2,1,2,middle
97,"pensions, wives' pensions, etc. Scheduled for entry into operation on 1 Nov. 1986.] ","[""pensions, wives' pensions, etc. Scheduled for entry into operation on 1 Nov. 1986.] ""]",88.08,543.82,376.06,554.49,2,1,1,end
98,30/1/1986  Public Service Regulations (Amendment). Statutory Rules 1986. No. 7. ,"['30/1/1986 ', 'Public Service Regulations (Amendment). Statutory Rules 1986. No. 7. ']",76.56,556.3,362.78,566.97,2,0,1,other
99,"[Substitutes s. 165 of the Regulations, defining the employees to whom this Part applies.] ","['[Substitutes s. 165 of the Regulations, defining the employees to whom this Part applies.] ']",88.8,568.54,397.9,579.21,2,1,1,end
100,20/11/1986  Health Insurance Regulations (Amendments). Statutory Rules 1986. Nos. 19 and 20. ,"['20/11/1986 ', 'Health Insurance Regulations (Amendments). Statutory Rules 1986. Nos. 19 and 20. ']",76.56,580.78,405.26,591.45,2,0,2,start
101,[Various minor amendments] ,['[Various minor amendments] '],89.04,593.26,193.18,603.93,2,1,0,end
102,1987—List No. 3  6  (112) ,"['1987—List No. 3 ', '6 ', '(112) ']",75.12,37.47,403.55,51.05,3,0,2,start
103,South Australia  (cont.) ,"['South Australia', ' (cont.) ']",73.92,63.82,155.66,74.97,3,0,0,country
104,[Regulations govern registration and enrolment of nurses in various specialities and of ,['[Regulations govern registration and enrolment of nurses in various specialities and of '],86.16,75.82,402.21,86.49,3,1,2,middle
105,midwives and contain provisions regarding requirements for approval of nursing schools. ,['midwives and contain provisions regarding requirements for approval of nursing schools. '],85.44,84.22,402.38,94.89,3,1,2,middle
106,"Issued pursuant to the Nurses Act 1984, these Regulations fix penalties for non-compliance.] ","['Issued pursuant to the Nurses Act 1984, these Regulations fix penalties for non-compliance.] ']",85.44,92.62,402.94,103.29,3,1,2,middle
107,6/VI/1986  Rural Industry Adjustment and Development Act 1985. No. 68. ,"['6/VI/1986 ', 'Rural Industry Adjustment and Development Act 1985. No. 68. ']",73.44,105.34,338.06,116.01,3,0,1,other
108,[Establishes the Rural Industry Adjustment and Development Fund; amends the Rural ,['[Establishes the Rural Industry Adjustment and Development Fund; amends the Rural '],86.16,117.58,402.22,128.25,3,1,2,middle
109,Industry Assistance (Special Provisions) Act 1971 and the Rural Industry Assistance Act 1977. ,['Industry Assistance (Special Provisions) Act 1971 and the Rural Industry Assistance Act 1977. '],85.44,125.98,402.14,136.65,3,1,2,middle
110,Authorises loans to farmers and others.] ,['Authorises loans to farmers and others.] '],85.2,134.38,226.78,145.05,3,1,0,end
111,Victoria ,['Victoria '],73.92,161.81,103.38,172.89,3,0,0,country
112,30/VII/1985  Accident Compensation Act 1985. No.  10191. ,"['30/VII/1985 ', 'Accident Compensation Act 1985. No.', ' 10191. ']",73.68,174.22,282.04,184.89,3,0,1,other
113,[The Act establishes a general scheme covering industrial accidents compensation in the state of ,['[The Act establishes a general scheme covering industrial accidents compensation in the state of '],86.16,186.46,402.21,197.13,3,1,2,middle
114,"Victoria. It applies to all branches of economic activity, including administration. For the ","['Victoria. It applies to all branches of economic activity, including administration. For the ']",85.44,194.86,402.53,205.53,3,1,2,middle
115,"purposes of the Act, occupational diseases are dealt with the same way as industrial accidents. ","['purposes of the Act, occupational diseases are dealt with the same way as industrial accidents. ']",85.44,203.26,402.38,213.93,3,1,2,middle
116,"Compensation is provided to the worker in the event of partial or total incapacity, and to his ","['Compensation is provided to the worker in the event of partial or total incapacity, and to his ']",85.44,211.66,402.58,222.33,3,1,2,middle
117,dependants in the event of  his  death. The basic compensation for total incapacity is equivalent ,"['dependants in the event of', ' his', ' death. The basic compensation for total incapacity is equivalent ']",85.2,220.06,402.28,230.73,3,1,2,middle
118,"to  80  per cent of the worker's pre-injury average weekly earnings. However, it must be above the ","['to', ' 80', "" per cent of the worker's pre-injury average weekly earnings. However, it must be above the ""]",85.44,228.46,403.07,239.13,3,1,2,middle
119,"minimum, and below the maximum amounts prescribed. Hospitalisation and medical treatment ","['minimum, and below the maximum amounts prescribed. Hospitalisation and medical treatment ']",85.2,236.86,402.04,247.53,3,1,2,middle
120,costs are also reimbursed. These provisions apply to all workers engaged within the state by a ,['costs are also reimbursed. These provisions apply to all workers engaged within the state by a '],84.96,245.26,401.84,255.93,3,1,2,middle
121,"resident employer, even if their place of work is outside the territory of Victoria. An Accident ","['resident employer, even if their place of work is outside the territory of Victoria. An Accident ']",85.2,253.66,401.8,264.33,3,1,2,middle
122,Compensation Commission is to be set up to ensure that compensation is paid. The ,['Compensation Commission is to be set up to ensure that compensation is paid. The '],85.2,262.06,402.05,272.73,3,1,2,middle
123,Commission will be responsible for administrating a fund fed by the contributions made by the ,['Commission will be responsible for administrating a fund fed by the contributions made by the '],85.2,270.46,402.05,281.13,3,1,2,middle
124,employers in the form of  levies  based on the wages and remuneration paid to the workers. The ,"['employers in the form of', ' levies', ' based on the wages and remuneration paid to the workers. The ']",85.2,278.86,402.05,289.53,3,1,2,middle
125,"rate of the levy may vary between 0.57 to 3.80 per cent of their annual remuneration, depending ","['rate of the levy may vary between 0.57 to 3.80 per cent of their annual remuneration, depending ']",85.44,287.26,402.21,297.93,3,1,2,middle
126,"on the industry; and bonuses may be granted, and penalties imposed, on the basis of the past ","['on the industry; and bonuses may be granted, and penalties imposed, on the basis of the past ']",85.44,295.66,402.04,306.33,3,1,2,middle
127,"record of accidents. On prescribed conditions, certain enterprises may be granted the status of ","['record of accidents. On prescribed conditions, certain enterprises may be granted the status of ']",85.2,304.06,401.97,314.73,3,1,2,middle
128,self-insurers and thereby be exempt from payment of the compulsory levy. The Act also ,['self-insurers and thereby be exempt from payment of the compulsory levy. The Act also '],85.2,312.46,402.08,323.13,3,1,2,middle
129,provides for the establishment of an Accident Compensation Tribunal with exclusive ,['provides for the establishment of an Accident Compensation Tribunal with exclusive '],85.2,320.86,402.05,331.53,3,1,2,middle
130,jurisdiction over disputes arising in connection with its application and the application of the ,['jurisdiction over disputes arising in connection with its application and the application of the '],84.48,329.26,402.05,339.93,3,1,2,middle
131,Workers Compensation Act 1958. The President and Deputy President must be judges of the ,['Workers Compensation Act 1958. The President and Deputy President must be judges of the '],85.44,337.66,402.05,348.33,3,1,2,middle
132,"Country Court, and the other members of the Tribunal are to be appointed, in equal numbers, ","['Country Court, and the other members of the Tribunal are to be appointed, in equal numbers, ']",85.44,346.06,401.97,356.73,3,1,2,middle
133,from persons nominated by the main employers' and workers' associations. Prior to the ,"[""from persons nominated by the main employers' and workers' associations. Prior to the ""]",85.44,354.46,402.05,365.13,3,1,2,middle
134,"institution of legal proceedings, the parties must submit to a conciliation procedure; the ","['institution of legal proceedings, the parties must submit to a conciliation procedure; the ']",85.44,362.86,402.05,373.53,3,1,2,middle
135,decisions of the Tribunal are subject to appeal before the Supreme Court for reasons of law. The ,['decisions of the Tribunal are subject to appeal before the Supreme Court for reasons of law. The '],85.2,371.26,402.05,381.93,3,1,2,middle
136,Act contains 276 articles and 2 schedules. It amends the Workers Compensation Act 1958 on ,['Act contains 276 articles and 2 schedules. It amends the Workers Compensation Act 1958 on '],85.44,379.66,401.86,390.33,3,1,2,middle
137,"many points, and contains a number of substantive amendments to the Pay-roll Tax Act 1971, ","['many points, and contains a number of substantive amendments to the Pay-roll Tax Act 1971, ']",85.44,388.06,401.98,398.73,3,1,2,middle
138,"the Administrative Appeals Tribunal Act 1984, and the Motor Accidents Act 1973. In addition, ","['the Administrative Appeals Tribunal Act 1984, and the Motor Accidents Act 1973. In addition, ']",85.44,396.46,401.97,407.13,3,1,2,middle
139,it contains partial amendments to 19 other statutes.] ,['it contains partial amendments to 19 other statutes.] '],85.44,404.86,268.3,415.53,3,1,1,end
140,30/VH/1985 Occupational Health and Safety Act. 1985. No. 10190. ,['30/VH/1985 Occupational Health and Safety Act. 1985. No. 10190. '],73.68,418.3,312.38,428.97,3,0,1,other
141,[The Act establishes the Occupational Health and Safety Commission as a consultative body ,['[The Act establishes the Occupational Health and Safety Commission as a consultative body '],86.16,430.78,401.87,441.45,3,1,2,middle
142,"responsible, inter alia, for promoting education and training in the field of occupational health ","['responsible, inter alia, for promoting education and training in the field of occupational health ']",85.44,439.18,401.87,449.85,3,1,2,middle
143,"and safety, and making recommendations to the Minister with respect to the elaboration of the ","['and safety, and making recommendations to the Minister with respect to the elaboration of the ']",85.44,447.58,402.05,458.25,3,1,2,middle
144,"regulations to be introduced under the Act. It furthermore prescribes procedures for protection, ","['regulations to be introduced under the Act. It furthermore prescribes procedures for protection, ']",85.44,455.98,401.98,466.65,3,1,2,middle
145,"consultation and, if necessary, the interruption of work in the event of a threat to health and ","['consultation and, if necessary, the interruption of work in the event of a threat to health and ']",85.2,464.38,401.8,475.05,3,1,2,middle
146,safety in an undertaking. Following negotiations between the employer and the trade union ,['safety in an undertaking. Following negotiations between the employer and the trade union '],85.44,472.78,401.86,483.45,3,1,2,middle
147,"concerned, the workers may elect health and security representatives at the workplace, whose ","['concerned, the workers may elect health and security representatives at the workplace, whose ']",85.2,481.18,402.05,491.85,3,1,2,middle
148,functions are also specified in the Act. The Act provides for an inspection scheme covering ,['functions are also specified in the Act. The Act provides for an inspection scheme covering '],85.44,489.58,402.21,500.25,3,1,2,middle
149,"occupational health and security, and inspectors are to be appointed by the Minister and vested ","['occupational health and security, and inspectors are to be appointed by the Minister and vested ']",85.44,497.98,401.8,508.65,3,1,2,middle
150,"with extensive powers. The Act repeals the Industrial Safety Health and Welfare Act,  1981,  and ","['with extensive powers. The Act repeals the Industrial Safety Health and Welfare Act,', ' 1981,', ' and ']",85.44,506.38,401.8,517.05,3,1,2,middle
151,contains amendments to eight other statutes.] ,['contains amendments to eight other statutes.] '],85.2,514.78,244.3,525.45,3,1,1,end
152,29/X/1985  Industrial Relations (Complementary Industrial Relations System) Act 1985. No. ,"['29/X/1985 ', 'Industrial Relations (Complementary Industrial Relations System) Act 1985. No. ']",73.2,527.5,402.38,538.17,3,0,2,start
153,10200. ,['10200. '],85.92,536.14,108.87,546.81,3,1,0,end
154,"[Provides for the insertion, into the Industrial Relations Act 1979, of a new Part IIIA, entitled ","['[Provides for the insertion, into the Industrial Relations Act 1979, of a new Part IIIA, entitled ']",85.68,548.38,402.27,559.05,3,1,2,middle
155,"""Complementary Industrial Relations System"", that provides for joint proceedings between the ","['""Complementary Industrial Relations System"", that provides for joint proceedings between the ']",85.2,556.78,402.53,567.45,3,1,2,middle
