,country,region,text,page
36,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respectiug the S-hour day in the bouk trades. 30th August, 1919. TI., Fr. 13—19 (22) ",5
37,FRANCE,FRANCE—continued,"Act to extend to industrial diseases the Act of 9th April, 1898, re- specting industrial accidents. 25th October, 1919. T., Fr. 7 ",5
38,FRANCE,FRANCE—continued,"•Act relating to the establishment and organisation of chambe:s of agriculture. 25th October, T., Fr. 21 ",5
39,FRANCE,FRANCE—continued,"Order of the Minister of Public Works issuing regulations for the work of drivers and firemen employed by railway companies (8-hour day.) 8th November, 1919. T., Fr. 13—19 (to) ",5
40,FRANCE,FRANCE—continued,"Order of the Minister of Public Works regulating the wnrk of guards employed by railway companies (8-hour day). 8th November, 1919. T., Fr. 13—19 (21) .. .. .. ",5
41,FRANCE,FRANCE—continued,"Decree respecting the Central Commission on Industrial Diseases. 19th November, 1910 .-T., Fr. 6 .. .. ",5
42,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the boot and shoe trades. 29th November, TI., Fr. I 3-19 (22) ",5
43,FRANCE,FRANCE—continued,"Docrec issuing public administrative regulations under thc Act of 23rd April, 1919, respecting the 8-hour day for pcrsons engaged in inland navigation. 28th November, Tl., Fr. 13—19 (22) .. .. .. .. .. .. ",5
44,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the textile indus- tries. 12th Dcceuiher, 1919. T., Fr. 13—19 (s) ",5
45,FRANCE,FRANCE—continued,"Decree issuing puUic administrative regulations under the Act of 23rd April, 1919, respccting the 8-hour day in the clothing trades. 12th December, 1919. T., Fr. 53—19 (6) ",5
46,FRANCE,FRANCE—continued,"Decree fixing the powers of the Ministry of Health, Social Assistance and Social Insurance. 27th January, 1920. T., Fr. xi ",5
47,FRANCE,FRANCE—continued,"Decree creating a National Labour Supply Council. 3rd February, 2920. T., Fr. io ",5
48,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations for the execution of Sections i and 2 of the Act of 2nd August, 1919, to limit the duration of the work of persons of both sexes employed on ocean-going vessels to eight hours a day. 24th February, 1920. T., Fr. 12. .. .. .. .. .. ",5
49,FRANCE,FRANCE—continued,"Act of 21st March, 1884, respecting associations, as amended by the Act of 12th March, 1920. 12th March, 1920. T., Fr. 8 ",5
50,FRANCE,FRANCE—continued,"Interdepartmental Decree estnhlishing a Permanent Immigration Commission. i8th July, 1920. T., Fr. 20 ",5
51,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day for workers in hotels, restaurants, cafés, and other establishments for the sale of food stuffs for consumption on the premises, in the Paris district. 2nd .&ugust, 1920. Tl., Fr. 13—19 (22) ",5
52,FRANCE,FRANCE—continued,"Act to amend Section 2, paragraph 2, of the Act of 9th April, 1898, respecting industrial accidents, as amended by the Act of 22nd March, 1902. August, 1920. T., Fr. 9 ",5
53,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the building industries and public works in .the liberated areas. 5th August, 1920. Tl., Fr. 13—19 (22) . . . . . . . . . ",5
54,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the metallurgical and metal-working trades. 9th .August, 1920. T., Fr. 13—19 ",5
55,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the hat trades. i4th August, 5920. '11., Fr. 13—19 (22) . . . . . ",5
56,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in hairdressers' shops and saloons and workshops for the manufacture of false hair. 26th August, 1920. Tl., Fr. 13—19 (22) . . ",5
57,FRANCE,FRANCE—continued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the manufacture of leather gloves. 27th August, 1920. T., Fr. 13—19 (ii) 7 ",5
58,FRANCE,FRANcE—conhinued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in undertakings for the production and distribution of electrical power in the Paris district. 3oih August, 2920. Ti., Fr. 13—19 (22) ",6
59,FRANCE,FRANcE—conhinued,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in cart and coach building. 8th December, 1920. Ti., Pr. 13—19 (23) ",6
60,FRANCE,FRANcE—conhinued,"Decree issuing public administrative regulations under the Act of 23rd April, i919, respecting the S-hour day in the manufacture of goloshes, esparto shoes (espadrilles), sandals, slippers, list shoes (chaussons) and footwear of all kinds. 30th December, 1920. 'Fl., Fr. 13—19 (23) .. ",6
61,FRANCE,FRANcE—conhinued,"Decree issuing 1inbhic administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in saddlery and harness making, manufacture of belting for machinery and all kinds of articles made of leather, artificial leather, or similar materials (fancy leather goods, sheaths, hunting, travelling and sports requisites). 30th December, 1920. fl., Fr. 13—19 (23) . ",6
62,FRANCE,FRANcE—conhinued,"Decree issuing public - administrative regulations under the Act of 23rd April, 2910, respecting the 8-hour day in the milling industry. 31St December, 1920. Tl., Fr. 13—19 (23). ",6
63,GE RMANv,,"Order relating to collective agreements, committees of workers and employees, and conciliation in labour disputes. 23rd December, 1928. S., Ger.i & 2 (27) .. .. ",6
64,GE RMANv,,"Act respecting women employees in inns and public-houses. 25th January, 2920. T., Ger. 10. ",6
65,GE RMANv,,"Order respecting the installation and working of establishments for manufacture of lead colours and other lead compounds. 27th January, 1920. T., Ger., 4—6. .. ",6
66,GE RMANv,,"Notification respecting the lead notiee. s7th January, 2920. T., Ger. 4—6 (9) .. .. ",6
67,GE RMANv,,"Notification respecting service instructions for the medical exami nation of lead workers. 27th January, 2920. T., Ger. 4—6 (ii) ",6
68,GE RMANv,,"Act to establish works councils. 4th February, 2920. T., Ger. 2—2 ",6
69,GE RMANv,,"Order respecting elections under the Works Councils Act. 5th February, 2920. S., Ger. 1—2(25) .. .. ",6
70,GE RMANv,,"Order under the Works Councils Act of .1th February, 1920. 24th February, 1920. T., Ger. ix .. .. ",6
71,GE RMANv,,"Ac.t relating to the employment of disabled men. 6th April, 2920. T.,Ger.9 ",6
72,GE RMANv,,"Order under the Works Councils Act of 4th February, 1920. i4th April, 1920. 1'., Ger. ii (i) ",6
73,GE RMANv,,"Order respecting the administration of Sections s and io of the Act relating to the employment of disabled men, dated 6th April, 1920. 21st April, 1920. S., Ger. g (-i) . . . . Order under the Works Councils Act of 4th February, 2920. April, 2920. S., Ger. II (4) ",6
74,GE RMANv,,". . . . . . . . . Order prohibiting the picking, cutting, and sorting of rags of all kinds as a home industry. 21st April, 1920. 'F., Ger. 12 ",6
75,GE RMANv,,"Order under the Works Councils Act of 4th February, 2920. 27th April, 1920. T., Gcr. ii ",6
76,GE RMANv,,"Order under the Works Councils Act of 4th February, 1920. 3oth April, 1920. 5., Ger. xx ",6
77,GE RMANv,,". . . . -. . . . . Order respecting the provisional Federal Economic Council. 4th May, 1920. S., Ger. 14 .. .. .. ",6
78,GE RMANv,,"Order respecting the establishment of a Federal Employment Board. 5th May, 1920. T., Ger. 13 .. .. ",6
79,GE RMANv,,"Act to amend the Works Councils Act of 4th February, 1920. 12th May, 2920. S., Ger. is (js) .. .. .. .. ",6
80,GE RMANv,,"Order issued under the Act relating to the employment of disabled men, dated 6th April, 1920. i7th May, 1920. S., Ger. ",6
81,GE RMANv,,"Notification respecting the present text of the Act relating to maternity benefit and other provision for maternity. 22nd May, 2920. T., Ger. i5 .. .. .. .. 8 ",6
82,GERMANY—CoflfjflUed,,"Order amending Sections and 624 of the Insurance Code. a5th May, 1920. T., Ger. 7 .. ",7
83,GERMANY—CoflfjflUed,,"Order under the Works Councils Act of 4th February, 1920. 5th June, 1920. S., Ger. ii (5) .. .. .. ",7
84,GERMANY—CoflfjflUed,,"Order under Section 1205 of the Industrial Code, for the protection of warkers in compressed air. 28th June. 1920. T., Ger. 3. ",7
85,GERMANY—CoflfjflUed,,"Notification respecting the renewal of a series of treaties and agree- ments concluded between Germany and Belgium, under Section 289 of the Peace Treaty of Versailles of 28th June, 1919. 3oth June, 1920. E., Cer. 8 ",7
86,GERMANY—CoflfjflUed,,"Order under the Works Councils Act of 4th February, 1920. 28th September, 5920. S., Ger. ",7
87,GERMANY—CoflfjflUed,,". . . . . . Order of the President of the Federation respecting strikes and lock outs in undertakings which provide the population with gas. water and electricity. soth November, 1920. 1., Ger. ",7
88,GERMANY—CoflfjflUed,,"Act to extend the time1imit provided for in Section 105 of the \Vorks Councils Act of 4th February, 1920. 3tst December, T., Ger. ",7
89,GERMANY—CoflfjflUed,,"Order withdrawing the Order of 27th April, 1920, under the Works Coun:ils Act. 8th January, 1921. S., Ger. si (s)... ",7
90,GREAT BRITAIN,,"Act to control the importation of goods infected or likely to be infected with anthrax, and to provide for the disinfection of any such goods. 22nd July, iyiq. T., G.B., 12 ",7
91,GREAT BRITAIN,,"Act to provide for the establishment of an Industrial Court and courts of inquiry in connection with trade disputes, and to make other provision for the settlement of such disputes, and to continue for a limited period certain of the provisions of the Wages (Temporary Regulation) Act, 1918. 20th November, 1919. Industrial Court (Procedure) Rules, 1920. i5th March, 1920. T GB. I (6). .. .. .. .. .. ",7
92,GREAT BRITAIN,,"Act to amend the Acts relating to national health insurance. Chapter to. 20th May, 1920. T., G.B. 2.. ",7
93,GREAT BRITAIN,,"General Regulations made by the Secretary of State under Section 86 of the Coal Mines Act, '9'' (i & 2 Geo. c. so). 3oth July, 1920. S., G.B. 6 .. ,. .. .. ",7
94,GREAT BRITAIN,,"An Act to amend the Law in respect of insurance against unernploy ment. 9th August, 192). 1'., G.E. 3 .. ",7
95,GREAT BRITAIN,,"An Act to provide for the better administration of mines, and to regulate the coal industry, and for other purposes connected with the mining industry and the persons employed therein. i6th August, 1920. E., G.B. .. .. ",7
96,GREAT BRITAIN,,"An Act to provide for the extension to Scotland of Part IV of the Merchant Shipping Act, 1894. i6th August, 1920. T., G.B. .. .. .. .. .. ",7
97,GREAT BRITAIN,,"Unemployment Insurance (Determination of Questions) (Provisional) i7th September, 1q20. T., GB. 7—8 ",7
98,GREAT BRITAIN,,"Unemployment insurance (Associations) (Provisiona]) Regulations. 7th October, 1920. T., GB. 7—8 ",7
99,GREAT BRITAIN,,". . . . Act to carry out certain Conventions relating to the employment of women, young prsons, and children, and to amend the law with respect to the employment of women and young persons in factories and workshops. 23rd December, 5920. T., G.B. g ",7
100,GREAT BRITAIN,,"An Act to make provision for the better protection of women and young persons against lead poisoning. 23rd December, 1920. T., G.B. ro .. .. .. .. .. Act to amend Section of the Unemployment Insurance Act, 1920 (to & ii Geo. 5, ch. 62). 23rd December, 1920. T., G.B.ii .. .. .. .. .. .. ",7
101,GREECE,,"Act No. 2111, respecting offences against liberty to work. itth March, 1920. T., Gr. 2 .. .. .. .. ",7
102,GREECE,,"Act No. 2112, respecting obligatory notice of the termination of the contract of employment of private employees. 11th March, 1920. T., Gr. 3—4 .. .. ",7
103,GREECE,,"Act No. 2151 respecting trade unions. aist March, 1920. T., Gr. I 9 ",7
104,GREECE,GpEECE—confjuued,"Act No. 2193 to amend and supplement certain Acts for the protection of wurkers. 5th June, 1920. T., Gr. 5 ",8
105,GREECE,GpEECE—confjuued,"Act No. 2273 respecting the prohibition of the use of white (yellow) phosphorus in the match industry. a4th June. 1920. T., Gr.6 .. .. .. .. .. .. ",8
106,GREECE,GpEECE—confjuued,"Royal Decree extending Act No. 2112, respecting obligatory notice of the termination of the contract of employment of private em ployees, to workers, craftsmen, and servants of all kinds. i6th July 1920. '1., Gr. 3—4 (3) ",8
107,HUNGARY,,"Government Order No. 1910 of r92o respecting the contract of service of commercial employees and officials of manufacturing and commercial nndertakings. ist March, 1920. T., Hung. 3.. ",8
108,HUNGARY,,"Government Order No. 6407 of 1910 respecting the organisation of the Coal Industry. c8th job-, 1920. S., Hung. s ",8
109,HUNGARY,,"Government Order No. 6622 of 1920 supplementing and amending Orders No. of 1914 and 5481 of 1914 respecting the limitation of the right of assembly. soth August, 1920. T., Flung. 2 .. .. .. .. .. ",8
110,ITALY,,"Legislative Decree to reurganise the employment exchange service of the Kingdom and to introduce compulsory insurance against unemployment. 19th October, T., It. 2 ",8
111,ITALY,,"Act to co-ordinate the provisions respecting emigration and the legal protection of emigrants. 13th November, 1919. '1'., It.i .. .. .. .. .. .. ",8
112,ITALY,,"Departmental Order laying down rules for the payment of contribu- tions for compulsory insurance against unemployment. 29th December, 1919. 5., It. 2 (18) ",8
113,ITALY,,"Legislative Decree respecting the reconstitution of the Administrative Council of the State Railways. and February, 5920. 5., It. 4&5 .. .. .. .. .. .. ",8
114,ITALY,,"Decree to make rules for the election of railwaymen's representatives on the Administrative Council of the State Railways. and February, 1920. 5., It. & 5 (a) ",8
115,ITALY,,"Royal Decree authorising the National Maternity Fund to increase maternity benefit. s8th April, 1920. T., it. 3 ",8
116,ITALY,,". . . Royal Decree creating the Miristry of Labour and Social Welfare and fixing its powers and duties. 3rd June, 1920. T., It. 6 & 7 ",8
117,ITALY,,"Act to amend the Act of 3rd June, 1920, No. 700, respecting the creation of the Ministry of Labour and Social Welfare. 7th June, 5920. 'F., It. 6 & 7 . . . . . . . Act to prohibit the use of white phosphorus in the m.atches. 23rd December, 5920. T., It. 8 ",8
118,LITHUANIA,,"Act respecting the establishment of a Labour Inspection Depart- ment. tOth July, 1919. 'F., Litis. S . . . , . ",8
119,LITHUANIA,,"Act respecting daily hours of work. 30th November, 5919. T., Lith. 2 .. .. .. .. .. .. ",8
120,LUNEMuURG,,"Act respecting the legal regulation of the contract of service of private employees. 31st October, 1919. T., Lux. 2—4 ",8
121,LUNEMuURG,,"Ministerial Order respecting the voting procedure for the election of committees of salaried employees on railways, in deviation from Section 9 of the Ministerial Order uf 5th December, 1919. 15th January, 5920. 5., Lux. 2—4 (8) .. .. ",8
122,LUNEMuURG,,"Grand-discal Decree respecting the constitution of works councils in industrial establishments. 8th October, i9au. 'F., Lux. i ",8
123,LUNEMuURG,,"Ministerial Order respecting election rules for the election of the committee of salaried employees. 29th December, 1920. S., Lux. 2—4 (8) .. .. .. .. .. .. ",8
124,NETHERLANDS,,"Decree issuing general administrative regulations for the eonstituti on of a Superior Labour Council. 4th October, 1919. T., Neth. i tO ",8
125,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations under Section io, Sub-section (t), of the Labour Act. 1919. joth August, 1920. T., Neth. 8 .. .. .. .. ",9
126,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations as provided in Section 38, Sub-section of the Labour Act, 1919. i4th August, 1920. T., Neth. 5—6 .. ",9
127,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations as provided in Section Sub-section (b), of the Labour Act, 19i9. 21St September, 1920. T., Neth. 5—6 (2) ",9
128,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations as provided in Section 22, Sub-sections (2) and (3), Section 23, and Section 25, Sub-sections (i) (2) and (s), of the Labour Act of 1919. 23rd September, 1920. T., Neth. 2—4 .. .. ",9
129,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations, as provided in Section 27 of the Labour Act, 1919. e7th September, 5920. 1'., Neth. 2—4 (23) . . . . . . . . . ",9
130,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations, as provided in Section 31, Sub-sections (i) and (v), Section 68, Sub-section (II), of the Labour Act, 1919. z7th September, 1920. T., Neth. 2—4 (26) .. .. .. .. .. .. ",9
131,NETHRRLANDS—COIZIiRUSd,,"Decree issuing public administrative regulations, as provided in Section 8a of the Labour Act, 1919. 4th October, 1920. T., Neth. 7.. .. .. .. .. .. ",9
132,NORWAY,,"Rules for cleanliness in bakeries subject to the law for the protection of labour. 26th August, 1916. TI., Nor. 4—22 (6). ",9
133,NORWAY,,"Act to amend and supplement the Act respecting sickness insurance of 6th August, 1915. r5th June, 1917. T., Nor. 3.. ",9
134,NORWAY,,". Regulations for printing works which come under the law for the protection of labour. 22nd June, 1917. S., Nor. 4—22 (7). ",9
135,NORWAY,,"Provisional Act supplementing the benefits to persons entitled to sickness benefit and family allowances in pursuance of the Sickness Tnsurance Act of 6th August, 1915, and the supple nientary Act of 15th june, 1917. 23rd July, 1918. T., Nor. 3(5); Appendix .. .. .. .. .. ",9
136,NORWAY,,"Rules for cleanliness in factories for the manufacture of artificial fobds for cattle and fcrtilisers. 30th October, 1919. S., Nor. 4—22 (n).. .. .. .. .. .. ",9
137,NORWAY,,"Rules for cleanliness in factories for the manufacture of lead com pounds and other poisonous substances and zinc white. 3oth October, 1919. S., Nor. 4—22 .. .. .. . Rules for cleanliness in works for the crushing small or grinding of minerals and stone. 3oth October, 1919. S., Nor. 4—22 ",9
138,NORWAY,,"Rules for cleanliness in galvanising works, silvering and enamelling works. 3oth October, '919. S., Nor. 4—22 .. ",9
139,NORWAY,,"Rules for cleanliness in cement works. 30th October, 1919. S., Nor. 4—22 (i).. ",9
140,NORWAY,,". . . . . . . . . . . . . Rules for cleanliness in type foundries. 30th October, 1919. S., Nor. 4—22 (s).. .. .. .. .. .. ",9
141,NORWAY,,"Rules for cleanliness in china and earthenware factories. 30th October, 1919. S., Nor. 4—22 ",9
142,NORWAY,,". . . . . . . . . Rules for cleanliness in smelting works. 3oth October, 1919. S., Nor. 4—22 (i).. .. .. .. .. ,. ",9
143,NORWAY,,"Rules for cleanliness in glass works. 3oth October, 1919. S., Nor. 4—22 (s). ",9
144,NORWAY,,"Rules for cleanliness in tobacco factories. 3oth October, 1919. S., Nor. 4—22 ",9
145,NORWAY,,". . . . . . , . , . . . Rules for cleanliness in textile factories. 3oth October, 1919. S., Nor. 4—22 (6). ",9
146,NORWAY,,"Rules for cleanliness in match factories. 9th April, 1q20. S., Nor. 4—22 (s).. .. .. .. .. .. .. ",9
147,NORWAY,,"Rules for cleanliness in cellulose factories. 9th April, 1920. S., Nor. 4—22 ",9
148,NORWAY,,". . . . . . . . . . . . . . . Rules for cleanliness in explosives factories. 9th April, 1920. S., Nor. 4—22 .. .. .. .. .. .. .. ",9
149,NORWAY,,"Regulations for lithographic establishments. 2nd July, 5920. E., Nor. 4—22 (6).. ",9
150,NORWAY,,"Provisional Act respecting works councils in industrial undertakings. 23rd July, 1920. 1'., Nor. i.. .. .. II ",9
151,NORWAY,NoRwAY—co nlinued,"Rules for cleanliness in electro-chemical works. 3rd Sdpteniber, 1920. S., Nor. 4—22 .. ",10
152,NORWAY,NoRwAY—co nlinued,". . Royal Decree issuing more stringent regulations and rules for cleanli- ness in metal grinding works and special departments for metal grinding in other undertakings where the work is carried out by permanent grinders. 29th October, 1920. T., Nor. 4—22 ",10
153,NORWAY,NoRwAY—co nlinued,"Act relating to the accident insurance of fishermen. ioth December, 1920. T., Nor. 2 .. .. .. .. .. - Act to amend and supplement the Act respecting sickness insurance of 6th August, 1915, together with the Supplementary Acts of 15th June, 1917, and 23rd July; 1918. ioth December, 1920. T.,Nor.3 .. .. .. .. ",10
154,POLAND,,"Act relating to hours of work in industry and commerce. iSth December, 1919. T., Pol. i.. .. ",10
155,POLAND,,"Act respecting compulsory sickness insurance. 19th May, 1920. T.,Pol.3 .. .. .. .. ",10
156,POLAND,,"Order of the Ministry of Public Health respecting the notification of cases of lead, zinc, phosphorus, arsenic and mercurial poisoning in industrial establishments, factories and 23rd October, 1920. T., Pol. 2 •. .. ",10
157,ROUIIANIA,,"Act respecting the establishment of the Ministry of Labour and Social \Velfare. 29th March, 1920. T., Rou. 1—3.. ",10
158,ROUIIANIA,,"Act respecting the of the Ministry of Labour and Social Welfare. 26th April, 1920. S., Rou. 1—3.. ",10
159,ROUIIANIA,,"Act to amend certain provisions of the Act respecting the organisation of the Ministry of Labour and Social Welfare. 12th june, 1920. Rou. 1—3 .. .. .. .. .. ",10
160,ROUIIANIA,,"Act concerning the regulation of collective labour disputes. 1th September, 1920. T., Rou. .. ",10
161,SERBO-CROAT-SLOVENE KINODOM,,"Order respecting hours of work in industrial undertakings, handi- crafts, milling, commerce and transport. 12th September, 1919. T.Scs.s .. .. .. .. .. ",10
162,S PAIN,,"Royal Order to determine that for the purposes of the Royal Decree by which the normal maximum working.day is fixed at eight hours, underground work in coal mines shall on and after 1st January, 1920, be limited to seven hours a day, reckoned in accordance with the Act of 27th December, 1910, except as otherwise provided in existing or future agreements employers and- in respect of any individual coal basin or mine. moth October, 1919. 5., Sp. m .. .. .. .. ",10
163,S PAIN,,"Regulations for work on board cargo and passenger ships. 10th October, 1919. T., Sp. 2 .. .. .. ",10
164,S PAIN,,"Royal Order issuing general rules for the adoption of the maximum working of eight hours. i5th january, 1920. T., Sp. 4—5.. ",10
165,S PAIN,,"Royal Order determining exemptions from the 8-hour maximum working day. m5th January, 1920. T., Sp. 45 ",10
166,S PAIN,,"Royal Decree to authorise the permanent committee of the Superior Emigration Council to apply a part of its funds to the payment of premiums for the insurance of Spanish emigrants and immi grants against death or total permanent invalidity consequent upon shipwreck. 5th August, 1Q20. T., Sp. 6—7.. ",10
167,S PAIN,,"Royal Order creating under the direction and inspection of the Ministry of Labour a general service of employment exchanges and statistics of the labour demand and supply. 29th September, 1920. T., Sp. 3 .. .. .. .. .. ",10
168,S PAIN,,"Royal Order concerning the establishment of emigrants' insurance in accordance with the rules hereinafter contained. i ith December 1920. T., Sp. 6—7 (I) .. .. .. .. 12 ",10
169,SWEDEN,,"Act respecting the limitation of working hours in the bakery and confectionery trades. i7th October, 1919. Swe. 4 ",11
