,line_text,spans,x0,y0,x1,y1,page,label_kmeans_0,label_kmeans_1,label
71,for wago-earning and salaried employees (labour councils) as,['for wago-earning and salaried employees (labour councils) as'],82.0,538.84,325.86,548.73,1,0,0,start
72,"amended by the Act of ist October, 1920. 1st October, 1920.","['amended by the Act of ist October, 1920.', '1st', 'October, 1920.']",83.0,547.04,325.93,556.93,1,0,0,start
73,"T., Aus. 19—20. .. .. .. ,.","['T.,', 'Aus. 19—20.', '..', '..', '..', ',.']",82.0,555.04,248.28,564.54,1,0,2,other
74,Administrative instruction of the State Department of Social,"['Administrative', 'instruction', 'of', 'the', 'State Department of', 'Social']",65.0,564.43,326.0,575.14,1,0,0,start
75,"Administration, authorising exceptions to the Act of 17th","['Administration, authorising exceptions to the Act of', '17th']",82.0,572.71,326.65,583.31,1,0,0,start
76,"December, 1919. (Exceptions Order No. 2 under the 8. Hour Day","['December, 1919.', '(Exceptions', 'Order No. 2', 'under', 'the 8. Hour Day']",82.0,581.96,326.34,591.18,1,0,0,start
77,"Act.) 9th November, 1920. T., Aus. 25 . . .","['Act.)', '9th November, 1920.', 'T.,', 'Aus. 25', '.', '.', '.']",82.0,589.49,269.97,598.81,1,0,2,other
78,(rooxI)T A 2,"['(rooxI)T', 'A 2']",65.0,601.21,335.78,610.91,1,0,0,start
79,COSTA RICA.,['COSTA RICA.'],47.0,26.62,94.49,34.32,2,0,1,country
80,Decree fixing the working day for all workers at eight hours. ifith,"['Decree fixing the working day for all workers at eight hours.', 'ifith']",65.0,37.22,324.84,46.92,2,0,0,start
81,"August) 1920. T., CR. x .. .. ..","['August) 1920.', 'T., CR. x', '..', '..', '..']",82.0,44.65,246.28,55.25,2,0,2,other
82,CZECIIO-SL0VAKIA.,['CZECIIO-SL0VAKIA.'],47.0,59.98,115.56,67.28,2,0,1,country
83,"Act respecting child labour. i7th July, 1919. 'F., Cz. 2. .","[""Act respecting child labour. i7th July, 1919. 'F., Cz. 2. .""]",65.0,69.62,271.26,78.92,2,0,2,other
84,. Act respecting the regulation of conditions of work and wages in,"['.', 'Act', 'respecting the regulation of conditions of work and wages in']",65.0,73.9,325.46,87.0,2,0,0,start
85,"home work. 12th December, 1919. T., Cz. i","['home work. 12th December, 1919. T., Cz. i']",82.0,85.38,247.43,94.88,2,0,2,other
86,Act respecting works and district councils in the mining industry.,['Act respecting works and district councils in the mining industry.'],65.0,92.97,324.03,102.87,2,0,0,start
87,"February, 1920. T., Cz. 3—5 ..","['February, 1920.', 'T., Cz. 3—5', '..']",102.0,101.3,247.3,112.85,2,0,2,other
88,Act respecting the participation of miners in the management of,"['Act', 'respecting the participation of miners in the management of']",66.0,108.92,324.24,119.03,2,0,0,start
89,mines and the allocation to them of a share in the net profits.,['mines and the allocation to them of a share in the net profits.'],83.0,117.1,325.47,127.1,2,0,0,start
90,"25th February, 1920. ]., Cs. 6 .. ..","['25th February, 1920.', ']., Cs. 6', '..', '..']",82.0,124.55,247.28,135.15,2,0,2,other
91,"Act respecting mining arbitration courts. 25th February, 1920.","['Act', 'respecting mining arbitration', 'courts.', '25th February,', '1920.']",66.0,132.92,325.22,143.07,2,0,0,start
93,Act concerning the regulation of international relations in the matter,"['Act', 'concerning the regulation of international relations in the matter']",67.0,149.37,325.27,158.87,2,0,0,start
94,"of social insurance. 7th April. 1920. T., Cs. 8 . . . Administrative Order under the Act of 25th February, 1920, respecting","['of social insurance. 7th April. 1920. T., Cs.', '8', '.', '.', '.', 'Administrative', 'Order under the Act of 25th February, 1920, respecting']",66.0,157.3,327.16,174.67,2,0,0,start
95,"works and district councils in the mining industry. 13th July,","['works and district councils in the mining industry. 13th July,']",83.0,172.9,326.06,182.9,2,0,0,start
96,"1920. '1., Cs. 3—5 (6).. . . . . . . . . . Government Order concerning the coming into operation of the Act","['1920.', ""'1., Cs. 3—5 (6).."", '.', '.', '.', '.', '.', '.', '.', '.', '.', 'Government', 'Order concerning the coming into operation of the Act']",67.0,181.9,326.56,198.8,2,0,0,start
97,and Order respecting works and district councils in the nuuing,['and Order respecting works and district councils in the nuuing'],83.0,196.95,327.15,206.75,2,0,0,start
98,"industry. 3rd August, 1920. T., Cs. (20) .","['industry.', '3rd August, 1920.', 'T., Cs.', '(20)', '.']",83.0,205.07,269.95,214.77,2,0,2,other
99,DENMARK.,['DENMARK.'],51.0,218.38,89.53,225.68,2,0,1,country
100,"Notificatipn of Act No. So of 8th April, 1914, relating to recognised","['Notificatipn of Act No. So of 8th April, 1914, relating to recognised']",67.0,227.27,326.11,236.77,2,0,0,start
101,"unemployment funds, as amended by the Act of 22nd December,","['unemployment funds, as amended by the Act of 22nd December,']",84.0,235.52,326.01,244.82,2,0,0,start
102,"1919. 5th January, 1920. T., Den. a ..","['1919.', '5th January, 1920.', 'T., Den. a', '..']",85.0,243.02,250.05,253.12,2,0,2,other
103,"Act concerning the inspection of ships. 29th March, 1020. 5., Den. 4.","['Act', 'concerning the inspection of ships. 29th March, 1020. 5., Den. 4.']",68.0,251.32,321.91,260.8,2,0,0,start
104,Notification of the Act respecting work in bakeries and confectionery,['Notification of the Act respecting work in bakeries and confectionery'],68.0,259.45,329.31,268.85,2,0,0,start
105,"businesses, as amended by the Act of 9th June, 1920. gth June,","['businesses, as amended by the Act of 9th June, 1920. gth June,']",85.0,267.2,326.31,276.8,2,0,0,start
106,"1920. T., Den. 3 .. .. .. ..","['1920.', 'T., Den. 3', '..', '..', '..', '..']",85.0,275.6,250.28,286.85,2,0,2,other
107,"Notification of Act No. 205 of 6th July, 1916, respecting insurance","['Notification', 'of Act No. 205 of 6th July, 1916, respecting insurance']",68.0,283.15,328.84,292.95,2,0,0,start
108,"against the coasequences of accidents, as amended by the Act","['against the coasequences of accidents, as amended by the Act']",85.0,290.97,329.13,300.87,2,0,0,start
109,"of 28th June, 1920. 28th June, 1920. T., Den. 2","['of 28th June, 1920. 28th June, 1920. T.,', 'Den.', '2']",85.0,299.3,263.9,308.9,2,0,2,other
110,FINLANu.,['FINLANu.'],52.0,312.45,86.44,320.25,2,0,1,country
111,Act respecting conditions of employment in shops and commercial,['Act respecting conditions of employment in shops and commercial'],68.0,321.12,327.72,330.82,2,0,0,start
112,"establishments, offices, and warehouses. c4th October, 1919.","['establishments, offices, and warehouses.', 'c4th October, 1919.']",85.0,329.02,328.05,339.1,2,0,0,start
114,Resolution of the Council of State respecting the hours of work in,"['Resolution', 'of the Council of State respecting the hours of work in']",69.0,344.97,327.57,354.87,2,0,0,start
115,"continuous industries. 20th December, 1919. T., Fin. 3..","['continuous industries. 20th December, 1919. T., Fin. 3..']",85.0,353.22,301.89,362.92,2,0,0,start
116,"Act to amend Section ra, paragraph a, of the Order of 2nd November,","['Act to amend Section ra, paragraph a, of the Order of 2nd November,']",68.0,361.52,326.52,370.82,2,0,0,start
117,"1917, respecting unemployment funds which are entitled to a","['1917, respecting unemployment funds which are entitled to a']",86.0,368.97,328.24,378.87,2,0,0,start
118,"subsidy front public funds. 8th May, 1920. T., Fin. i","['subsidy front public funds. 8th May, 1920. T., Fin. i']",85.0,377.3,284.74,386.9,2,0,2,other
119,Resolution of the Council of State relating to special exceptions from,['Resolution of the Council of State relating to special exceptions from'],69.0,385.45,329.57,394.85,2,0,0,start
120,"the provisions of the Act of 27th November, 1917, respecting","['the provisions of the Act of 27th November, 1917, respecting']",85.0,393.17,328.34,403.07,2,0,0,start
121,"the 8-hour working day. 23rd December, ig2n. T., Fin.","['the 8-hour working day. 23rd December, ig2n. T., Fin.']",85.0,401.52,296.75,411.22,2,0,0,start
122,FRANCE.,['FRANCE.'],51.0,415.25,82.04,422.65,2,0,1,country
123,Decree issuing public administrative regulations tinder the Act of,['Decree issuing public administrative regulations tinder the Act of'],68.0,422.97,327.01,432.87,2,0,0,start
124,"ixth June, 1917, respecting Saturday afternoon rest in the","['ixth June, 1917, respecting Saturday afternoon rest in the']",86.0,430.55,328.0,441.15,2,0,0,start
125,industries specified in Section 33 of Book I of the Labour Code,['industries specified in Section 33 of Book I of the Labour Code'],85.0,439.3,328.97,448.9,2,0,0,start
126,"(ready-made garments for men, women and children, corset","['(ready-made garments for men, women and children, corset']",86.0,446.9,325.1,456.9,2,0,0,start
127,"making, bespoke dressmaking, fur-sewing, making of women's","[""making, bespoke dressmaking, fur-sewing, making of women's""]",85.0,455.02,330.02,464.72,2,0,0,start
128,"underclothing, men's bespoke tailoring). r8th February, 1919.","[""underclothing, men's bespoke tailoring)."", 'r8th February, 1919.']",85.0,462.85,327.57,473.05,2,0,0,start
129,"T., Fr. 5-2 .. .. .. .. ..","['T., Fr. 5-2', '..', '..', '..', '..', '..']",85.0,470.65,250.06,481.35,2,0,2,other
130,Decree issuing public adnunistrative regulations under the Act of,"['Decree', 'issuing public adnunistrative regulations under the Act of']",68.0,478.62,330.0,488.72,2,0,0,start
131,"tith June, 1917, respecting Saturday afternoon rest in the","['tith June, 1917, respecting Saturday afternoon rest in the']",86.0,486.4,330.16,497.2,2,0,0,start
132,"wholesale millinery trade (provincial). 20th May, 1919. T.,","['wholesale millinery trade (provincial).', '20th May, 1919.', 'T.,']",85.0,494.9,328.33,504.92,2,0,0,start
133,Fr. 1—2 (2) .. .. .. .. .. ..,"['Fr. 1—2 (2)', '..', '..', '..', '..', '..', '..']",85.0,502.55,276.28,513.15,2,0,2,other
134,"Act relating to the duration of working hours in mines. 24th June,","['Act', 'relating to the duration of working hours in mines. 24th June,']",68.0,511.08,328.08,520.97,2,0,0,start
135,"1919. T., Fr. 3 .. .. .. .. ..","['1919.', 'T., Fr. 3', '..', '..', '..', '..', '..']",86.0,519.7,276.06,530.83,2,0,2,other
136,Act to amend a heading and a section in Fart it of the first book of,"['Act', 'to amend a heading and a section in Fart it of the first book of']",69.0,526.88,329.72,536.82,2,0,0,start
137,"the Labour Code. 25th June, 1919. T., Fr. 4 ..","['the Labour Code.', '25th June, 1919. T., Fr. 4', '..']",85.0,534.92,276.3,546.55,2,0,2,other
138,Act to limit the duration of work of persons of both sexes and of all,"['Act', 'to limit the duration of work of persons of both sexes and of all']",68.0,543.2,327.91,552.92,2,0,0,start
139,ages employed on ocean-going vessels to eight hours a day.,"['ages employed on ocean-going vessels to eight', 'hours a day.']",85.0,550.58,329.06,560.88,2,0,0,start
140,"2nd August, T., Fr. s .. .. .. .. ..","['2nd August,', 'T., Fr. s ..', '..', '..', '..', '..']",85.0,558.82,302.28,569.32,2,0,0,start
141,Decree issuing public administrative regulations under the Act of,"['Decree', 'issuing public administrative regulations under the Act of']",69.0,566.9,328.26,576.9,2,0,0,start
142,"23rd April, 1919, respecting the 8-hour day in the industries","['23rd April,', '1919, respecting the 8-hour day in the industries']",86.0,574.9,330.31,585.32,2,0,0,start
143,"connected with the dressing of hides. 3oth August, T., Fr.","['connected with the dressing of hides. 3oth August,', 'T., Fr.']",86.0,583.45,328.5,593.15,2,0,0,start
144,13—19 (8) .. ..,"['13—19 (8)', '..', '..']",86.0,591.15,174.06,601.75,2,0,1,country
148,7,['7'],186.0,22.19,189.35,28.89,3,1,2,end
149,FRANcE—conhinued.,['FRANcE—conhinued.'],50.0,27.14,124.02,35.24,3,0,1,country
150,Decree issuing public administrative regulations under the Act of,['Decree issuing public administrative regulations under the Act of'],66.0,36.52,327.07,46.52,3,0,0,start
151,"23rd April, 1919, respecting the 8-hour day in undertakings for","['23rd April, 1919,', 'respecting', 'the 8-hour day in undertakings for']",83.0,44.67,327.18,54.47,3,0,0,start
152,the production and distribution of electrical power in the Paris,['the production and distribution of electrical power in the Paris'],83.0,52.67,326.61,62.47,3,0,0,start
153,"district. 3oih August, 2920. Ti., Fr. 13—19 (22)","['district.', '3oih August, 2920.', 'Ti.,', 'Fr. 13—19', '(22)']",83.0,61.05,268.8,70.52,3,0,2,other
154,Decree issuing public administrative regulations under the Act of,"['Decree', 'issuing public administrative regulations under the Act of']",66.0,68.54,327.56,78.64,3,0,0,start
155,"23rd April, 1919, respecting the 8-hour day in cart and coach","['23rd April, 1919,', 'respecting', 'the 8-hour day in cart and coach']",83.0,76.67,326.43,86.87,3,0,0,start
156,"building. 8th December, 1920. Ti., Pr. 13—19 (23)","['building.', '8th December, 1920.', 'Ti.,', 'Pr. 13—19', '(23)']",84.0,85.32,277.8,94.49,3,0,2,other
157,Decree issuing public administrative regulations under the Act of,"['Decree', 'issuing public administrative regulations under the Act of']",66.0,92.64,327.56,102.74,3,0,0,start
158,"23rd April, i919, respecting the S-hour day in the manufacture","['23rd April, i919,', 'respecting', 'the S-hour day in the manufacture']",83.0,100.77,327.63,110.57,3,0,0,start
159,"of goloshes, esparto shoes (espadrilles), sandals, slippers, list","['of goloshes, esparto shoes (espadrilles), sandals, slippers,', 'list']",84.0,108.79,327.25,118.69,3,0,0,start
160,"shoes (chaussons) and footwear of all kinds. 30th December,","['shoes (chaussons) and footwear of all kinds.', '30th December,']",84.0,116.77,327.04,126.57,3,0,0,start
161,"1920. 'Fl., Fr. 13—19 (23) ..","['1920.', ""'Fl.,"", 'Fr. 13—19', '(23)', '..']",84.0,125.31,197.06,134.41,3,0,2,other
163,Decree issuing 1inbhic administrative regulations under the Act of,"['Decree', 'issuing 1inbhic administrative regulations under the Act of']",66.0,132.77,326.55,142.57,3,0,0,start
164,"23rd April, 1919, respecting the 8-hour day in saddlery and harness","['23rd April, 1919,', 'respecting', 'the 8-hour day in saddlery and harness']",84.0,141.29,327.51,150.39,3,0,0,start
165,"making, manufacture of belting for machinery and all kinds of","['making, manufacture of belting for machinery and all kinds of']",84.0,148.74,325.92,158.44,3,0,0,start
166,"articles made of leather, artificial leather, or similar materials","['articles made of leather, artificial leather, or similar materials']",83.0,156.49,325.49,166.39,3,0,0,start
167,"(fancy leather goods, sheaths, hunting, travelling and sports","['(fancy leather goods, sheaths, hunting, travelling and sports']",84.0,164.37,327.07,174.57,3,0,0,start
168,"requisites). 30th December, 1920. fl., Fr. 13—19 (23) .","['requisites).', '30th December, 1920.', 'fl.,', 'Fr. 13—19', '(23)', '.']",83.0,171.97,295.97,182.17,3,0,0,start
169,Decree issuing public - administrative regulations under the Act of,"['Decree', 'issuing public -', 'administrative', 'regulations under the Act of']",67.0,180.34,327.32,190.44,3,0,0,start
170,"23rd April, 2910, respecting the 8-hour day in the milling industry.","['23rd April, 2910,', 'respecting', 'the 8-hour day in the milling industry.']",84.0,189.02,327.3,198.22,3,0,0,start
171,"31St December, 1920. Tl., Fr. 13—19 (23). . . .","['31St', 'December,', '1920.', 'Tl.,', 'Fr. 13—19', '(23).', '.', '.', '.']",82.0,197.47,296.19,205.99,3,0,0,start
172,GEORGIA.,['GEORGIA.'],49.0,212.33,83.62,219.33,3,0,1,country
173,"Rules of the Wages Council, 1919. Geo. t","['Rules', 'of the Wages Council, 1919.', 'Geo.', 't']",67.0,222.12,228.39,231.32,3,0,2,other
174,GE RMANv.,"['GE', 'RMANv.']",49.0,236.12,88.0,243.32,3,0,1,country
175,"Order relating to collective agreements, committees of workers and","['Order', 'relating to collective agreements, committees of workers and']",67.0,245.74,328.52,255.44,3,0,0,start
176,"employees, and conciliation in labour disputes. 23rd December,","['employees, and conciliation in labour disputes.', '23rd December,']",84.0,253.94,327.62,263.24,3,0,0,start
177,"1928. S., Ger.i & 2 (27) .. ..","['1928.', 'S., Ger.i & 2', '(27)', '..', '..']",84.0,261.5,224.5,271.45,3,0,2,other
178,. . Act respecting women employees in inns and public-houses. 25th,"['.', '.', 'Act', 'respecting women employees in inns and public-houses.', '25th']",67.0,266.42,327.82,279.42,3,0,0,start
179,"January, 2920. T., Ger. 10.","['January, 2920.', 'T.,', 'Ger. 10.']",84.0,277.74,190.59,287.12,3,0,2,other
180,Order respecting the installation and working of establishments for,"['Order', 'respecting the installation and working of establishments for']",67.0,285.55,326.66,295.24,3,0,0,start
181,manufacture of lead colours and other lead compounds.,['manufacture of lead colours and other lead compounds.'],101.0,293.07,327.61,303.27,3,0,0,start
182,"27th January, 1920. T., Ger., 4—6. ..","['27th January, 1920.', 'T.,', 'Ger., 4—6.', '..']",84.0,300.97,249.3,311.57,3,0,2,other
183,"Notification respecting the lead notiee. s7th January, 2920.","['Notification', 'respecting', 'the', 'lead', 'notiee.', 's7th January,', '2920.']",66.0,308.87,327.45,319.47,3,0,0,start
184,"T., Ger. 4—6 (9) .. .. ' .. ..","['T.,', 'Ger. 4—6 (9)', '..', '..', ""'"", '..', '..']",84.0,318.27,249.28,328.87,3,0,2,other
185,Notification respecting service instructions for the medical exami,"['Notification', 'respecting service instructions for the medical exami']",66.0,325.49,323.96,335.39,3,0,0,start
186,"nation of lead workers. 27th January, 2920. T., Ger. 4—6","['nation of lead workers.', '27th January, 2920.', 'T.,', 'Ger. 4—6']",84.0,333.17,327.79,343.37,3,0,0,start
187,(ii),['(ii)'],84.0,340.92,96.71,351.32,3,0,1,country
188,". . . . . . . . . . . . . . . Act to establish works councils. 4th February, 2920. T., Ger. 2—2","['.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'Act', 'to establish works councils.', '4th February, 2920.', 'T.,', 'Ger. 2—2']",67.0,346.02,326.79,359.12,3,0,0,start
189,Order respecting elections under the Works Councils Act. 5th,"['Order', 'respecting elections under the Works Councils Act.', '5th']",67.0,357.1,328.01,367.4,3,0,0,start
190,"February, 2920. S., Ger. 1—2(25) .. ..","['February, 2920.', 'S.,', 'Ger. 1—2(25)', '..', '..']",84.0,365.4,250.06,374.92,3,0,2,other
191,"Order under the Works Councils Act of .1th February, 1920. 24th","['Order', 'under the Works Councils Act of .1th February, 1920.', '24th']",67.0,373.64,328.35,383.34,3,0,0,start
192,"February, 1920. T., Ger. ix .. ..","['February, 1920.', 'T.,', 'Ger. ix', '..', '..']",84.0,381.81,249.06,391.12,3,0,2,other
193,"Ac.t relating to the employment of disabled men. 6th April, 2920.","['Ac.t', 'relating to the employment of disabled men.', '6th April, 2920.']",67.0,389.37,327.33,399.17,3,0,0,start
194,"T.,Ger.9 ...","['T.,Ger.9', '...']",84.0,394.57,223.35,408.37,3,0,2,other
195,"Order under the Works Councils Act of 4th February, 1920. i4th","['Order', 'under the Works Councils Act of 4th February, 1920.', 'i4th']",67.0,404.84,328.28,415.27,3,0,0,start
