,line_text,spans,x0,y0,x1,y1,page,label_kmeans_0,label_kmeans_1,label
79,"8th October, 1944, pp. 891-892)","['8th October, 1944, pp. 891-892)']",109.0,332.61,230.4,342.01,2,0,1,end
80,Oct. 20 Ordinance respecting admission to social insurance [increase to,"['Oct. 20', 'Ordinance respecting admission to', 'social', 'insurance', '[increase to']",62.0,346.14,368.98,356.04,2,1,0,start
81,"60,000 francs of maximum limit fixed in sub-paragraph (1) of","['60,000 francs of maximum limit fixed in sub-paragraph', '(1)', 'of']",109.0,353.81,368.16,364.01,2,0,0,middle
82,subsection (2) of section 1 of the Legislative Decree of 28th,"['subsection', '(2)', 'of', 'section', '1', 'of', 'the Legislative Decree of 28th']",109.0,361.86,368.92,372.26,2,0,0,middle
83,"October, 1935, respecting social insurance, as (J.O.R.F.","['October, 1935, respecting social insurance, as', '(J.O.R.F.']",109.0,370.89,367.74,380.19,2,0,0,middle
84,"21st October, 1944, p. 1032)","['21st October, 1944, p. 1032)']",109.0,378.91,216.83,388.31,2,0,1,end
85,Dec. 21 Ordinance to amend sections 99c and 107 of the First Book of,"['Dec. 21', 'Ordinance to amend sections 99c and 107 of the First Book of']",61.0,391.86,367.52,402.26,2,1,0,start
86,"the Labour Code [penaltiesr°. (J,O.R.F. 22nd December, 1944,","['the Labour Code', '[penaltiesr°.', '(J,O.R.F. 22nd December,', '1944,']",109.0,400.14,368.88,410.44,2,0,0,middle
87,p. 2013),['p. 2013)'],108.0,410.01,138.0,419.01,2,0,2,other
88,"See also Ordinances of July 26, August 9, September 15, October 12 and","['See also Ordinances of', 'July 26, August 9,', 'September', '15, October 12 and']",62.0,422.21,368.42,432.74,2,1,0,start
89,"December 2, pp. 39-40 below.","['December 2, pp. 39-40 below.']",63.0,431.06,179.51,440.66,2,1,2,country
90,B. VICHY GOVERNMENT,['B. VICHY GOVERNMENT'],151.0,448.84,270.29,459.14,2,0,1,end
91,"Jan. 5 Act No. 6, to amend [the second paragraph of and to add two","['Jan. 5', 'Act No. 6, to amend [the second paragraph of and to add two']",61.0,467.11,368.05,477.91,2,1,0,start
92,"paragraphs to, the sole section of] the Act of 18th January, 1929,","['paragraphs to, the sole section of] the Act of 18th January, 1929,']",109.0,475.46,367.84,485.46,2,0,0,middle
93,"respecting apprenticeship in agriculturen. (J.O.E.F. 15th January,","['respecting apprenticeship in agriculturen.', '(J.O.E.F. 15th January,']",108.0,483.64,368.57,493.66,2,0,0,middle
94,"1944, p. 174)","['1944, p. 174)']",109.0,492.64,157.53,501.74,2,0,2,other
95,S.A. Suonzen Asetuskokoelnui.,"['S.A.', 'Suonzen Asetuskokoelnui.']",61.0,511.21,189.99,520.46,2,1,1,other
96,F.F. = Finlands förfatiningssainling.,"['F.F. =', 'Finlands', 'förfatiningssainling.']",60.0,519.61,206.17,531.41,2,1,1,other
97,J.O.R.F. = Journal off ide! de la Rfpublique francaise.,"['J.O.R.F. =', 'Journal', 'off ide! de la Rfpublique francaise.']",61.0,530.79,274.36,541.29,2,1,1,other
98,1935 (Fin. 1); amendments: 1940 (Fin. 1); 1941 (Fin. 1); 1942 (Fin. 4).,['1935 (Fin. 1); amendments: 1940 (Fin. 1); 1941 (Fin. 1); 1942 (Fin. 4).'],88.0,553.04,369.33,562.93,2,1,0,start
99,"— ULS 1943 (Fin. 2, B). — (Fin. 2, A). — 1943 (Fin. 2, D).","['—', 'ULS', '1943 (Fin. 2, B). —', '(Fin. 2, A). —', '1943 (Fin. 2, D).']",53.0,559.85,359.88,571.34,2,1,0,start
100,"L.S. 1942 (Fr. 14, B). — L.S. 1940 (Fr. 10). — L.S. 1935 (Fr. 12);","['L.S. 1942 (Fr. 14, B). —', 'L.S. 1940 (Fr. 10). —', 'L.S. 1935 (Fr. 12);']",68.0,568.68,367.75,579.71,2,1,0,start
101,"1936 (Fr. 11); 1938 (Fr. 7); 1942 (Fr. 9); 1943 (Fr. 1, B); 1944 (Fr. 8). —","['1936 (Fr. 11); 1938 (Fr. 7); 1942 (Fr. 9); 1943 (Fr. 1, B); 1944 (Fr. 8). —']",54.0,576.93,367.55,587.64,2,1,0,start
102,"30 L.S. 1928 (Fr. 4, D); 1932 (Fr. I and 3); 1938 (Fr. 5). — L.S. 1929 (Fr. 5). —","['30 L.S.', '1928 (Fr. 4, D); 1932 (Fr. I and 3); 1938 (Fr. 5). —', 'L.S.', '1929 (Fr. 5). —']",53.0,586.01,368.64,595.81,2,1,0,start
103,1944—Indexes I — 8 —,"['1944—Indexes I', '—', '8', '—']",64.0,51.72,237.2,61.87,3,1,1,other
104,INDIA (continued),"['INDIA', '(continued)']",66.0,67.5,158.48,80.22,3,1,2,country
105,Oct. 7 -An Ordinance further to amend the National Service (Technical,"['Oct. 7', '-An Ordinance further to amend the National Service (Technical']",75.0,84.79,379.84,95.44,3,1,0,start
106,",Personnel) Ordinance, 1940'°. No. XLVII of 1944. National Ser-","["",Personnel) Ordinance, 1940'°."", 'No. XLVII of 1944.', 'National Ser-']",119.0,93.64,380.99,103.64,3,0,0,middle
107,"vice ,(Technical Personnel) Amendment Ordinance, 1944 (G.I. Extra","['vice ,(Technical Personnel) Amendment Ordinance, 1944 (G.I. Extra']",121.0,102.04,377.98,111.34,3,0,0,middle
108,"ordinary, 7th October, 1944, p. 11438)","['ordinary, 7th October, 1944, p. 11438)']",121.0,109.7,267.97,119.2,3,0,1,end
109,Dec. 18 An Ordinance to amend the War Injuries (Compensation Insur-,"['Dec. 18', 'An Ordinance to amend the War Injuries (Compensation Insur-']",74.0,123.17,379.35,133.37,3,1,0,start
111,"ance) Act, 1943"". No. LIV of 1944. War Injuries (Compensation","['ance) Act, 1943"".', 'No. LIV of 1944.', 'War Injuries (Compensation']",120.0,131.67,380.18,141.59,3,0,0,middle
112,"Insurance) Amendment Ordinance, 1944.. (G.I. Extraordinary, 18th","['Insurance) Amendment Ordinance, 1944.. (G.I. Extraordinary, 18th']",120.0,140.42,379.67,150.02,3,0,0,middle
113,"December, 1944, pp. 1555-1556)","['December, 1944, pp. 1555-1556)']",121.0,148.47,240.48,157.47,3,0,1,end
114,"• Dec. 30 Notification No. 5-DC (87)/44, to insert sub-rules (1A) and (1B)","['• Dec. 30', 'Notification No. 5-DC (87)/44, to insert sub-rules (1A) and (1B)']",70.0,161.72,380.02,171.72,3,1,0,start
115,after sub-rule (1) of Rule 81A of the Defence of India Rulesc,['after sub-rule (1) of Rule 81A of the Defence of India Rulesc'],121.0,169.17,380.33,179.77,3,0,0,middle
116,"- ; (avoidance of :strikes an4 lockouts). (G.I. Part I, section 1, p. 1666)","['-', ';', '(avoidance of :strikes an4 lockouts).', '(G.I. Part I, section 1, p. 1666)']",69.0,177.92,380.36,187.89,3,1,0,start
117,"MEXICO, UNITED STATES OF","['MEXICO, UNITED STATES OF']",66.0,195.47,226.6,207.27,3,1,1,other
119,Nov. 4 Decree to amend section 135 [procedure for settlement of disputes],"['Nov.', '4', 'Decree to amend section 135 [procedure for settlement of disputes]']",75.0,212.12,379.34,221.72,3,1,0,start
120,"- . of the 'Social Insutance Act43. (Diario Oficial, Vol. CXLVII,","['-', '.', 'of', ""the 'Social"", 'Insutance', 'Act43.', '(Diario', 'Oficial,', 'Vol. CXLVII,']",72.0,219.74,381.07,230.09,3,1,0,start
121,No 20 p 4),"['No 20 p', '4)']",122.0,226.27,172.2,237.67,3,0,2,other
122,MOROCCO,['MOROCCO'],66.0,242.24,121.11,253.14,3,1,2,country
124,FRENCH ZONE,"['FRENCH', 'ZONE']",189.0,254.57,258.13,264.37,3,0,1,end
126,May 1 Decree to amend [sections 21 and 25 of] and tQ sqppleinent the,"['May', '1', 'Decree to amend [sections 21 and 25 of] and tQ sqppleinent the']",75.0,268.07,381.76,278.27,3,1,0,start
127,"Decree of 25th June, 1927 respecting liability in respect of accidents","['Decree of 25th June, 1927 respecting liability in respect of accidents']",121.0,276.59,381.41,286.09,3,0,0,middle
128,"with which workers meet in the course of their etnployinent"".","['with which workers meet in the course of their', 'etnployinent"".']",121.0,283.45,381.79,294.52,3,0,0,middle
129,"(Bulletin of ficiel, 2nd June, 1944, No. 1649, p. 318)","['(Bulletin of ficiel, 2nd June, 1944, No. 1649, p. 318)']",122.0,292.84,318.06,302.14,3,0,0,middle
130,NEW. ZEALAND,['NEW. ZEALAND'],66.0,306.72,149.98,317.92,3,1,2,country
132,Dec 12 An Act to amend certain enactments of the General Assembly of,"['Dec', '12', 'An Act to amend certain enactments of the General Assembly of']",75.0,322.44,382.42,332.54,3,1,0,start
133,"New [inter alia, the-Annual J'{ohdays Act43, the Coal-mines","['New', ""[inter alia, the-Annual J'{ohdays Act43, the Coal-mines""]",121.0,330.82,380.87,340.22,3,0,0,middle
134,"Act, the Factories Act, the Industrial Conciliation","['Act,', 'the Factories Act,', 'the Industrial Conciliation']",122.0,338.57,380.75,348.69,3,0,0,middle
135,"Arbitration. Act, the. Workers' Coinpensation Act;","['Arbitration. Act,', ""the. Workers' Coinpensation Act;""]",138.0,346.84,355.11,356.35,3,0,0,middle
136,"and -thei Workers ComDensatlon Amendment Act, 1943""], No. 25.","['and -thei Workers ComDensatlon Amendment Act, 1943""],', 'No. 25.']",122.0,354.94,381.05,364.59,3,0,0,middle
137,"Statutes Amendment Act, :1944.","['Statutes Amendment Act, :1944.']",121.0,363.14,242.67,372.45,3,0,1,end
139,Dec 15 An Act to make provision with respect to public finance and other,"['Dec', '15', 'An Act to make provision with respect to public finance and other']",75.0,376.97,381.39,386.77,3,1,0,start
140,"[sections amendments of the. Social.'Security Act"";","['[sections', 'amendments of the. Social.\'Security Act"";']",156.0,384.99,379.85,394.89,3,0,0,middle
141,"""section 7': of the National Provident FOnd Act,","['""section 7\':', 'of the National Provident FOnd Act,']",118.0,393.04,350.72,402.77,3,0,0,middle
142,"No. 31. Finance Act (No. 3), 1944.","['No. 31.', 'Finance Act (No. 3), 1944.']",122.0,401.24,262.26,410.94,3,0,1,end
143,NORTHERN IRELAND: See United of 'Great' Britain,"['NORTHERN IRELAND:', 'See United', ""of 'Great' Britain""]",66.0,414.49,380.96,426.49,3,1,0,start
144,and Northern Ireland,['and Northern Ireland'],66.0,426.72,163.28,438.32,3,1,2,country
146,NORWAY,['NORWAY'],66.0,443.39,115.94,454.49,3,1,2,country
147,GOVERNMENT IN OSLO,['GOVERNMENT IN OSLO'],167.0,452.97,280.88,463.17,3,0,1,end
148,"Mar. 30 Act to amend ;provisionally' 'the 'Act 'of 16th July, 1936, respecting","['Mar. 30', ""Act to amend ;provisionally' 'the 'Act 'of 16th July, 1936, respecting""]",75.0,467.79,380.57,477.39,3,1,0,start
150,",old age pensions'2. (N.L. Part I, p. 164; Part II, p. 101)","[',old', ""age pensions'2."", '(N.L. Part I, p. 164; Part II, p. 101)']",117.0,475.04,346.98,485.54,3,0,0,middle
151,Lovtideiid:,['Lovtideiid:'],133.0,494.29,173.45,503.39,3,0,2,other
153,"p. 26, Act No. XVI). — '°L.S. 1942 (md; 1, C). ""L.S. 1943 (Ind. 2). —","['p.', '26, Act No. XVI). —', ""'°L.S."", '1942 (md; 1, C).', '""L.S.', '1943 (Ind. 2). —']",66.0,515.34,380.49,526.22,3,1,0,start
154,"43L.S. 1942 (md. 4); 1943 (Indexes I, p. 10). — (Méx. I). — ""L.S.","['43L.S.', '1942 (md. 4); 1943 (Indexes I, p. 10). —', '(Méx. I). —', '""L.S.']",67.0,523.99,380.55,534.44,3,1,0,start
155,"1927 (Mor. 3); amendments: 1931 (Mor. 1); 1935 (Mor. 1);. 1943 (Indexes 1,.","['1927 (Mor. 3); amendments: 1931 (Mor. 1); 1935 (Mor. 1);. 1943 (Indexes 1,.']",67.0,532.02,379.74,542.02,3,1,0,start
156,p. 11).,['p. 11).'],67.0,541.32,90.76,550.52,3,1,2,country
157,"L.S. 1944 (N.Z. 3). — ""Extracts: L.S. 1925 (N.Z. 2); amendment: 1937","['L.S. 1944 (N.Z. 3). —', '""Extracts:', 'L.S. 1925 (N.Z. 2); amendment: 1937']",82.0,548.22,380.89,558.7,3,1,0,start
158,"(N.Z. 2, A). — L.S. (N.Z. 2); amendments: 1938 (N.Z. 2). — ""L.S. 1925","['(N.Z. 2, A). —', 'L.S.', '(N.Z. 2); amendments: 1938 (N.Z. 2). —', '""L.S.', '1925']",68.0,556.67,381.4,566.87,3,1,0,start
159,(N.z: 1); amendments: 1932 (N.Z. 1.),['(N.z: 1); amendments: 1932 (N.Z. 1.)'],67.0,565.04,212.21,574.74,3,1,1,other
161,1936 (N.Z. 1 and 7); 1937 (N.Z. 1); 1943,['1936 (N.Z. 1 and 7); 1937 (N.Z. 1); 1943'],222.0,564.94,382.03,574.64,3,0,0,middle
162,"(N.Z. 3). —""'L.S. 1926 (N.Z. 2'); amendments: 1943 (N.Z. 1). — '°L.S. 1943","['(N.Z. 3). —""\'L.S. 1926 (N.Z. 2\'); amendments: 1943 (N.Z. 1). —', ""'°L.S."", '1943']",68.0,572.67,381.2,582.89,3,1,0,start
163,"(N.Z. 1,. A). 9 L.S. 1942 (N.Z.. 1); 1943 (N.Z.. 1). — L.S. 1926 (N.Z. 3):—","['(N.Z. 1,. A).', '9', 'L.S. 1942 (N.Z.. 1); 1943 (N.Z.. 1). —', 'L.S.', '1926 (N.Z. 3):—']",68.0,581.2,381.41,591.47,3,1,0,start
164,1944—In dexes I —,"['1944—In dexes I', '—']",60.0,54.75,212.7,64.65,4,1,1,other
165,SWEDEN (continued),['SWEDEN (continued)'],62.0,70.75,171.21,82.85,4,1,2,country
166,A. ',"['A.', ""'""]",335.0,75.94,343.49,81.24,4,0,0,middle
167,Mar. .1? to amend section: of,"['Mar.', '.1?', 'to amend section:', 'of']",70.0,89.94,376.66,99.82,4,1,0,start
168,respecting the State control of the public employment,['respecting the State control of the public employment'],177.0,98.44,376.67,107.74,4,0,0,middle
169,exchange (S.F. p. 258) -,"['exchange', '(S.F. p. 258)', '-']",118.0,106.22,286.43,115.92,4,0,1,end
170,"Mar 17 Act No 96 to amend Act No 206 of 29th June, 1912 respecting","['Mar', '17', 'Act No 96', 'to amend Act No 206 of 29th June, 1912', 'respecting']",70.0,119.35,377.17,129.92,4,1,0,start
171,-. •. workers' p. 259),"['-.', '•.', ""workers'"", 'p. 259)']",66.0,128.5,254.78,139.17,4,1,1,other
172,"Mar. 24 Order No. 231, to amend section 32 of Order No. 280 of '26th'","['Mar. 24', ""Order No. 231, to amend section 32 of Order No. 280 of '26th'""]",71.0,141.82,354.92,151.7,4,1,0,start
173,"1931, respecting sick (S.F. pp. 444-445)","['1931, respecting sick', '(S.F. pp. 444-445)']",63.0,150.05,258.46,159.54,4,1,1,other
174,"'V.,Jutie 30","[""'V.,Jutie"", '30']",62.0,164.29,100.9,172.55,4,1,2,country
175,V,['V'],103.0,169.85,104.23,171.54,4,0,2,other
