,line_text,spans,x0,y0,x1,y1,page,x0_type,x1_type,label
35,Workers' Compensation (Bus/i Fire Fighters) Act. 1944.,"[""Workers' Compensation (Bus/i Fire Fighters) Act. 1944.""]",82.0,478.91,302.62,488.71,3,2,1,end
36,B.O. Bole tin Oficial de la Repdblica Argentina.,"['B.O.', 'Bole tin Oficial de la Repdblica Argentina.']",36.0,497.43,229.32,506.93,3,1,1,other
37,"1L.S. 1930 (Arg. 3, B). — 2L.S. 1934 (Arg. 1, B). — 1L.S. 1936 (Arg. 1,","['1L.S. 1930 (Arg. 3, B). —', '2L.S.', '1934 (Arg. 1, B). —', '1L.S.', '1936 (Arg. 1,']",35.0,521.04,340.8,531.54,3,1,2,start
38,A). — L.S. 1940 (Arg. 3). — 1L.S 19Z3 (Austral. 7); 1928 (Austral. 4);,"['A). —', 'L.S.', '1940 (Arg. 3). —', '1L.S', '19Z3 (Austral. 7); 1928 (Austral. 4);']",27.0,529.29,341.69,539.86,3,0,2,other
39,1931 (Austral. 14) ; 1932 (Austral. 4 and 10); 1933 (Austral. 8); 1935 (Austral.,"['1931 (Austral. 14) ;', '1932 (Austral. 4 and 10); 1933 (Austral. 8); 1935 (Austral.']",27.0,537.86,341.97,547.86,3,0,2,other
40,5); 1936 (Austral. 4); 1937 (Austral. 1); 1941 (Austral. 4); also Act No. 3 of,['5); 1936 (Austral. 4); 1937 (Austral. 1); 1941 (Austral. 4); also Act No. 3 of'],27.0,545.54,339.97,555.84,3,0,2,other
41,1942 and Act No. 14 of 1943.,['1942 and Act No. 14 of 1943.'],28.0,554.69,139.07,563.99,3,0,0,country
42,'L.S. 1941 (Austral.,"[""'L.S. 1941"", '(Austral.']",35.0,562.18,114.45,571.89,3,1,0,other
43,1,['1'],121.0,566.34,123.15,570.64,3,-1,0,other
44,"and 3); 1942 (Austral. 3); also SR. 1943, Nos. 40","['and 3); 1942 (Austral. 3); also SR. 1943, Nos. 40']",130.0,561.66,342.09,572.46,3,-1,2,other
45,and 156. — L.S. 1926 (Austral. 5); 1927 (Austral. 3); 1929 (Austral. 9); 1937,"['and 156. —', 'L.S.', '1926 (Austral. 5); 1927 (Austral. 3); 1929 (Austral. 9); 1937']",27.0,570.18,342.06,580.29,3,0,2,other
46,"(Austral. 2, A, p. 12) ; 1938 (Austral. 5, Part III) ; also section 2, subsection (3),","['(Austral. 2, A, p. 12) ; 1938 (Austral. 5, Part III) ;', 'also section 2, subsection (3),']",28.0,578.73,341.4,588.64,3,0,2,other
47,of Act No. 26 of 1941 and Act No. 13 of 1942. — L.S. 1922 (Austral. 2);,"['of Act No. 26 of 1941 and Act No. 13 of 1942. —', 'L.S.', '1922 (Austral. 2);']",28.0,586.26,341.23,596.86,3,0,2,other
48,1944—Indexes I — 4 —,"['1944—Indexes I', '—', '4', '—']",47.0,48.06,221.9,57.31,4,0,1,other
49,Queensland,['Queensland'],49.0,66.06,102.92,76.06,4,0,0,country
50,Dec. 1 An Act to suspend certain provisions of the Unemployed Workers,"['Dec. 1', 'An Act to suspend certain provisions of the Unemployed Workers']",58.0,82.71,364.39,93.01,4,1,2,start
51,"Insurance Acts, 1922 to 19368, and for purposes incidental thereto.","['Insurance Acts, 1922 to 19368, and for purposes incidental thereto.']",105.0,90.69,365.77,100.39,4,2,2,middle
52,"8 Geo. VI, No. 14. The Unemployed Workers Insurance Acts","['8 Geo. VI, No. 14.', 'The Unemployed Workers Insurance Acts']",105.0,98.59,365.53,109.34,4,2,2,middle
53,Amendment Act of 1944.,['Amendment Act of 1944.'],105.0,107.51,201.08,116.91,4,2,0,end
54,"Dec. 14 An Act to amend the Workers' Compensation Acts, 1916 to 1943',","['Dec. 14', ""An Act to amend the Workers' Compensation Acts, 1916 to 1943',""]",58.0,121.11,364.94,131.34,4,1,2,start
55,in certain particulars [compensation for certain diseases and liability,['in certain particulars [compensation for certain diseases and liability'],105.0,129.24,364.62,138.74,4,2,2,middle
56,"for hospital and medical treatmenti. 9 Geo. VI, No. 2. The","['for hospital and medical treatmenti.', '9 Geo. VI, No. 2.', 'The']",105.0,135.74,365.15,147.34,4,2,2,middle
57,Workers' Compensation Acts Amendment Act of 194&,"[""Workers' Compensation Acts Amendment Act of 194&""]",106.0,145.19,321.66,154.89,4,2,1,end
58,"Dec. 14 An Act to provide that persons who, during war, have been","['Dec. 14', 'An Act to provide', 'that persons who, during war, have been']",58.0,158.34,364.94,169.74,4,1,2,start
59,"members of fighting forces shall receive preference in employment,","['members of fighting forces shall receive preference in employment,']",105.0,167.56,365.47,177.16,4,2,2,middle
60,"and to amend The Industrial Conciliation and Arbitration Acts,","['and to amend The Industrial Conciliation and Arbitration Acts,']",105.0,175.24,364.48,185.54,4,2,2,middle
61,"1932 to 194210, in certain particulars. 9 Geo. VI, No. 4. The","['1932 to', '194210,', 'in certain particulars.', '9 Geo. VI, No. 4.', 'The']",106.0,182.49,365.15,193.71,4,2,2,middle
62,Industrial Conciliation and Arbitration Acts (War Preference in,['Industrial Conciliation and Arbitration Acts (War Preference in'],105.0,191.04,366.17,201.34,4,2,2,middle
63,Employment) Act of 1944.,['Employment) Act of 1944.'],105.0,199.96,208.46,209.56,4,2,1,end
64,South Australia,['South Australia'],50.0,215.79,125.62,227.89,4,0,0,country
65,"Dec. 14 An Act to amend the Workmen's Compensation Act,","['Dec. 14', ""An Act to amend the Workmen's Compensation Act,""]",58.0,233.56,317.22,243.84,4,1,1,other
66,"No. 33 of 1944. Workmen's Compensation Act Amendment Act,","['No.', '33 of 1944.', ""Workmen's Compensation Act Amendment Act,""]",106.0,241.39,366.45,251.86,4,2,2,middle
67,1944.,['1944.'],106.0,251.59,123.32,259.29,4,2,0,end
68,Tasmania,['Tasmania'],50.0,265.94,96.27,277.84,4,0,0,country
69,Apr. 27 An Act to amend [section 36 of I,"['Apr. 27', 'An Act to amend [section 36 of I']",59.0,281.04,247.15,291.79,4,1,1,other
71,the Workers' (Occupational,"['the', ""Workers' (Occupational""]",255.0,281.31,366.47,291.11,4,-1,2,other
72,"Diseases) Relief Fund Act 192812 [inserts words ""or treatment""","['Diseases) Relief Fund Act 192812 [inserts words ""or treatment""']",106.0,289.31,367.02,299.51,4,2,2,middle
73,"after word ""examination"", wherever occurring]. 7 and 8 Geo. VI,","['after word ""examination"", wherever occurring].', '7 and 8 Geo. VI,']",105.0,297.36,365.65,307.79,4,2,2,middle
74,No. 76.,"['No.', '76.']",106.0,307.07,133.38,315.37,4,2,0,end
75,BELGIUM,['BELGIUM'],50.0,320.04,102.38,331.54,4,0,0,country
76,Mar. 25 Legislative Order to amend sections 26 and 28 of the Act of 5th,"['Mar. 25', 'Legislative Order to amend sections 26 and 28 of the Act of 5th']",59.0,335.41,366.06,345.91,4,1,2,start
77,"June, 1928, to issue regulations for seamen's agreementsU. (Mom-","[""June, 1928, to issue regulations for seamen's agreementsU."", '(Mom-']",105.0,343.71,365.5,353.56,4,2,2,middle
78,"teur beige — Belgisch Staatsblad, 20th May, 1944, No. 9, p. 224)","['teur beige —', 'Belgisch', 'Staatsblad, 20th May, 1944, No. 9, p. 224)']",106.0,351.71,364.86,361.81,4,2,2,middle
79,BOLIVIA,['BOLIVIA'],51.0,367.81,97.86,379.21,4,0,0,country
80,Nov. 23 Act to fix a date for the calculation of the period of service for,"['Nov. 23', 'Act to fix a date for the calculation of the period of service for']",59.0,383.26,365.06,393.66,4,1,2,start
81,the purpose of the payment of compensation in the event of,"['the purpose of the payment of compensation in', 'the event of']",106.0,390.91,365.93,401.91,4,2,2,middle
82,voluntary resignation [repeals (d) and (f) of section 16 of the,"['voluntary resignation', '[repeals (d) and (f) of section 16 of the']",106.0,399.04,366.99,410.14,4,2,2,middle
83,"General Labour Act'4]. (Protección Social, February 1945, No. 85,","[""General Labour Act'4]."", '(Protección Social, February 1945, No. 85,']",106.0,408.14,366.32,417.81,4,2,2,middle
84,p. 58),['p. 58)'],106.0,417.24,128.16,426.74,4,2,0,end
85,Dec. 29 Act to mike an addition to section 88 of the General Labour,"['Dec. 29', 'Act to mike an addition to section 88 of the General Labour']",59.0,429.49,366.65,440.39,4,1,2,start
86,"Act14, with respect to compensation in case of death resulting","['Act14, with respect', 'to compensation', 'in', 'case of death', 'resulting']",106.0,437.74,367.85,448.43,4,2,2,middle
87,from an industrial accident or occupational disease. (Leyes Sociales,['from an industrial accident or occupational disease. (Leyes Sociales'],107.0,446.96,367.48,456.56,4,2,2,middle
88,"de Bolivia, 1944, pp. 93-94)","['de Bolivia, 1944, pp. 93-94)']",106.0,455.29,211.14,464.59,4,2,1,end
89,1927 (Austral. 5); 1930 (Austral. 8); 1931 (Austral. 2); 1933 (Austral. 3); and,['1927 (Austral. 5); 1930 (Austral. 8); 1931 (Austral. 2); 1933 (Austral. 3); and'],51.0,472.61,367.16,482.81,4,0,2,other
90,"Act of 11th December, 1936 (1 Edw. VIII, No. 25). — L.S. 1925 (Austral. 5);","['Act of 11th December, 1936 (1 Edw. VIII, No. 25). —', 'L.S.', '1925 (Austral. 5);']",51.0,480.91,366.95,490.94,4,0,2,other
91,1926 (Austral. 8); 1929 (Austral. 8); 1933 (Austral. 4); 1934 (Austral. 8);,['1926 (Austral. 8); 1929 (Austral. 8); 1933 (Austral. 4); 1934 (Austral. 8);'],52.0,488.64,365.53,499.34,4,0,2,other
92,1935 (Austral. 8); 1936 (Austral. 5); 1939 (Austral. 2); also Acts of 12th,['1935 (Austral. 8); 1936 (Austral. 5); 1939 (Austral. 2); also Acts of 12th'],52.0,496.59,367.76,507.49,4,0,2,other
93,"December, 1941, 29th April, 1943 and 25th November, 1943 (6 Geo. VI, No. 6,","['December, 1941, 29th April, 1943 and 25th November, 1943 (6 Geo. VI, No. 6,']",51.0,505.54,367.47,515.43,4,0,2,other
94,"and 7 Geo. VI, No. 9 and No. 37).","['and 7 Geo. VI, No. 9 and No. 37).']",51.0,513.64,186.0,523.53,4,0,0,country
95,10L.S. 1933 (Austral. 1); 1934 (Austral. 5); 1935 (Austral. 7); 1937 (Austral.,['10L.S. 1933 (Austral. 1); 1934 (Austral. 5); 1935 (Austral. 7); 1937 (Austral.'],60.0,521.84,365.49,531.73,4,1,2,start
96,"3); 1938 (Austral. 3); also Acts of 12th December, 1941, and 12th November,","['3); 1938 (Austral. 3); also Acts of 12th December, 1941, and 12th November,']",51.0,529.89,365.17,539.99,4,0,2,other
97,"1942 (6 Geo. VI, No. 3 and No. 21). — L.S. 1932 (Austral. 11); 1938","['1942 (6 Geo. VI, No. 3 and No. 21). —', 'L.S.', '1932', '(Austral.', '11);', '1938']",51.0,537.46,366.6,548.66,4,0,2,other
98,"(Austral. 6); also Acts No. 65 of 1940, No. 50 of 1941, and No. 39 of 1943. —","['(Austral. 6); also Acts No. 65 of 1940, No. 50 of 1941, and No. 39 of 1943. —']",52.0,546.26,366.41,556.26,4,0,2,other
99,UL.S. 1929 (Austral. 2); 1934 (Austral. 13) ; 1936 (Austral. 8); 1939 (Austral.,"['UL.S.', '1929 (Austral. 2); 1934 (Austral. 13) ;', '1936 (Austral. 8); 1939 (Austral.']",51.0,553.96,366.33,564.64,4,0,2,other
100,"4); also Acts of 17th December, 1940, 13th November, 1941, and 2nd June,","['4); also Acts of 17th December, 1940, 13th November, 1941, and 2nd June,']",51.0,562.46,366.13,572.86,4,0,2,other
101,"1943 (4 and 5 Geo. VT, No. 81, 5 Geo. VI, No. 51 and 7 Geo. VI, No. 17) and","['1943 (4 and 5 Geo. VT, No. 81, 5 Geo. VI, No. 51 and 7 Geo. VI, No. 17) and']",52.0,570.96,365.55,580.96,4,0,2,other
102,"Statute Law Revision Acts. — u L.S. 1928 (Bel. 5); 1941 (Bel. 7, B).","['Statute Law Revision Acts. —', 'u', 'L.S. 1928 (Bel. 5); 1941 (Bel. 7, B).']",51.0,577.45,321.83,589.29,4,0,1,other
103,— 5 1944—Indexes I,"['— 5', '1944—Indexes I']",171.0,53.38,344.22,62.73,5,-1,2,other
104,CANADA,['CANADA'],28.0,70.46,73.77,81.16,5,0,0,country
105,Jan. 10 O.C. amending the National Selective Service Civilian Regula-,"['Jan. 10', 'O.C. amending the National', 'Selective', 'Service Civilian Regula-']",36.0,86.31,342.88,96.41,5,1,2,start
106,"tions15 [for further amendments during 1944 see footnote 32,","['tions15', '[for', 'further amendments during', '1944', 'see', 'footnote', '32,']",82.0,94.51,342.88,104.61,5,2,2,middle
107,"p. 24 below]. P.C. 121. (Canadian War Orders and Regulations,","['p. 24 below].', 'P.C. 121.', '(Canadian War Orders and Regulations,']",83.0,102.76,343.64,112.66,5,2,2,middle
108,"Vol. 1, pp. 166-167)","['Vol. 1, pp. 166-167)']",82.0,111.33,155.49,120.33,5,2,0,end
109,Sept.,['Sept.'],36.0,125.91,53.24,134.41,5,1,0,other
110,1,['1'],60.0,129.06,62.15,133.36,5,-1,0,other
111,"O.C. amending sections 15, 16 and 48 of the Wartime Labour","['O.C. amending sections', '15,', '16 and 48 of the Wartime Labour']",83.0,124.18,342.57,134.98,5,2,2,middle
112,"Relations Regulations'6 [P.C. 1003 of 17th February, 19441.","['Relations', ""Regulations'6"", '[P.C.', '1003', 'of', '17th', 'February,', '19441.']",82.0,133.36,342.73,143.16,5,2,2,middle
113,"(C.W.O.R. Vol. III, p. 459)","['(C.W.O.R. Vol. III, p. 459)']",83.0,141.23,189.97,151.03,5,2,1,end
114,CHILE,['CHILE'],28.0,155.43,61.56,166.83,5,0,0,country
115,"June 23 Act No. 7771, to amend section","['June 23', 'Act No. 7771,', 'to amend section']",36.0,171.73,210.41,181.73,5,1,1,other
116,1,['1'],218.0,176.06,220.15,180.36,5,-1,1,other
117,"of Act No. 4054, respecting","['of Act No. 4054,', 'respecting']",228.0,171.48,342.4,181.88,5,-1,2,other
118,"insurance against sickness and invalidity17. (Diario Oficial, 26th","['insurance', 'against sickness and invalidity17.', '(Diario', 'Oficial,', '26th']",82.0,180.26,342.29,189.76,5,2,2,middle
119,"June, 1944, p. 1173)","['June, 1944, p. 1173)']",82.0,188.61,157.94,197.91,5,2,0,end
120,DENMARK,['DENMARK'],28.0,202.01,85.12,213.31,5,0,0,country
121,"Mar. 21 Legislative Order No. 93, to continue in operation [until 1st April,","['Mar. 21', 'Legislative Order No. 93, to continue in operation [until 1st April,']",36.0,218.53,341.41,228.33,5,1,2,start
122,"1945] Act No. 119 of 7th May, 1937, respecting the prohibition","['1945] Act No. 119 of 7th May, 1937, respecting the prohibition']",82.0,226.43,341.79,236.63,5,2,2,middle
123,"of overtime58. (Lovtidenden, Part A, p. 183)","['of overtime58.', '(Lovtidenden, Part A, p. 183)']",82.0,234.98,255.32,244.58,5,2,1,end
124,Apr.,['Apr.'],36.0,249.48,51.88,258.28,5,1,0,other
125,1,['1'],59.0,252.98,61.4,257.78,5,-1,0,other
126,"Legislative Order No. 110, to amend temporarily [until 31st March,","['Legislative Order No. 110, to amend temporarily [until 31st March,']",82.0,249.18,341.7,258.78,5,2,2,middle
127,"19451 Act No. 183 of 20th May, 1933, relating to accident insur","['19451 Act No. 183 of 20th May, 1933, relating to accident insur']",82.0,257.06,337.17,266.96,5,2,1,end
128,"ance59. (Lovtidenden, Part A, p. 555)","['ance59.', '(Lovtidenden, Part A, p. 555)']",82.0,265.38,232.04,275.38,5,2,1,end
129,ECUADOR,['ECUADOR'],28.0,279.91,80.68,290.81,5,0,0,country
130,"Aug. S Decree No. 679, to amend the Social Insurance Act of 14th July,","['Aug. S', 'Decree No. 679, to amend the Social Insurance Act of 14th July,']",36.0,295.31,342.86,305.41,5,1,2,start
131,1942'° [addition of new provisions respecting the governing body,"[""1942'°"", '[addition of new provisions respecting the governing body']",82.0,303.38,342.14,313.38,5,2,2,middle
132,"of the National Provident Institution]. (R.O. 19th August, 1944,","['of the National Provident Institution].', '(R.O. 19th August, 1944,']",82.0,311.48,342.36,321.48,5,2,2,middle
133,p. 577),['p. 577)'],82.0,321.36,107.78,330.46,5,2,0,end
134,"Aug. 9 Decree No. 729, to amend the Labour [by substituting the","['Aug. 9', 'Decree No. 729, to amend the Labour', '[by substituting the']",36.0,333.66,342.46,343.76,5,1,2,start
135,"words ""four years"" for the words ""three years"" in sections 306,","['words ""four years"" for the words ""three years"" in sections 306,']",82.0,341.48,342.45,351.88,5,2,2,middle
136,307 and 308 and in other relevant sections: computation of accident,['307 and 308 and in other relevant sections: computation of accident'],82.0,350.18,342.23,359.78,5,2,2,middle
137,"compensation]. (R.O. 12th August, 1944, p. 506)","['compensation].', '(R.O. 12th August, 1944, p. 506)']",82.0,358.38,272.93,367.98,5,2,1,end
138,"Aug. 9 Decree No. 771, to provide that sections 221-224 of the Labour","['Aug. 9', 'Decree No. 771, to provide that sections 221-224 of the Labour']",36.0,371.83,340.92,382.18,5,1,2,start
139,Code21 shall apply to wage-earning employees [holidays with pay].,['Code21 shall apply to wage-earning employees [holidays with pay].'],82.0,380.56,340.84,390.06,5,2,2,middle
140,"(R.O. 15th August, 1944, pp. 539-540)","['(R.O. 15th August, 1944, pp. 539-540)']",83.0,389.23,229.22,398.63,5,2,1,end
141,FINLAND,['FINLAND'],28.0,403.21,77.59,414.51,5,0,0,country
142,"Apr. 27 Act to amend the Act of 2nd June, 1939, relating to holidays with","['Apr. 27', 'Act to amend the Act of 2nd June, 1939, relating to holidays with']",36.0,419.06,341.58,428.98,5,1,2,start
143,pay for seamen22 [the amendments provide (1) that ratings shall,['pay for seamen22 [the amendments provide (1) that ratings shall'],82.0,426.91,342.59,437.01,5,2,2,middle
144,be entitled to twelve days' holiday after one year's service (instead,"[""be entitled to twelve days' holiday after one year's service (instead""]",82.0,435.03,341.36,444.83,5,2,2,middle
145,"of nine days as previously), (2) that all seamen shall be entitled","['of nine days as previously), (2)', 'that all seamen shall be entitled']",81.0,442.91,342.08,453.53,5,2,2,middle
146,to compensation for six working days if they leave the employment,['to compensation for six working days if they leave the employment'],82.0,451.48,341.17,461.08,5,2,2,middle
147,after service for not less than six months but less than one year;,['after service for not less than six months but less than one year;'],82.0,459.23,340.93,469.43,5,2,2,middle
148,and (3) that in the case of vessels engaged in seasonal trade,"['and', '(3)', 'that', 'in', 'the case of vessels engaged in', 'seasonal', 'trade']",82.0,467.21,341.79,477.96,5,2,2,middle
149,compensation shall be paid (after three months' service) at the rate,"[""compensation shall be paid (after three months' service) at the rate""]",81.0,475.46,343.42,485.36,5,2,2,middle
150,of one working day for every complete month's service]. (S.A.,"[""of one working day for every complete month's service]."", '(S.A.']",81.0,484.01,340.84,494.11,5,2,2,middle
151,or F.F. No. 273),['or F.F. No. 273)'],81.0,492.48,146.0,502.48,5,2,0,end
152,R.O. Regisiro Oficial.,"['R.O.', 'Regisiro Oficial.']",36.0,511.31,127.99,520.61,5,1,0,other
153,S.A. Suomen Asetuskokoelnia.,"['S.A.', 'Suomen Asetuskokoelnia.']",36.0,521.66,160.04,530.88,5,1,0,other
154,F. F. = Finlands fôrfattningssasnling.,"['F. F. =', 'Finlands', 'fôrfattningssasnling.']",36.0,531.68,175.38,541.43,5,1,0,other
155,"""L.S. 1939 (Bol. 1); 1942 (Bol. 1).— 15L.S. 1943 (Can. 1).— 16L.S. 1944","['""L.S.', '1939 (Bol. 1); 1942 (Bol. 1).— 15L.S. 1943 (Can. 1).— 16L.S. 1944']",36.0,553.23,343.8,563.43,5,1,2,start
156,"(Can. 1). — Act of 8th September, 1924. Consolidated text: L.S. 1926","['(Can.', '1). —', 'Act', 'of', '8th', 'September,', '1924.', 'Consolidated text:', 'L.S.', '1926']",29.0,561.1,341.36,571.43,5,0,2,other
157,(Chile 1); amendment: 1932 (Chfle 2).,['(Chile 1); amendment: 1932 (Chfle 2).'],29.0,572.13,177.74,578.83,5,0,0,country
158,"'2L.S. 1937 (Den. 3). — ""L.S. 1933 (Den. 5); amendment: 1938 (Den. 6). —","[""'2L.S. 1937 (Den."", '3). —', '""L.S.', '1933 (Den. 5); amendment: 1938 (Den. 6). —']",36.0,577.56,341.44,587.71,5,1,2,start
159,20L.S. 1942 (Ec. 1). — 21L.S. 1938 (Ec. 1). 22L.S. 1939 (Fin. 2).,"['20L.S.', '1942 (Ec. 1). —', '21L.S.', '1938 (Ec. 1).', '22L.S.', '1939 (Fin. 2).']",28.0,586.88,292.92,595.98,5,0,1,other
160,1944—Indexes I — 6,"['1944—Indexes I', '—', '6']",51.0,55.59,213.61,65.44,6,0,1,other
161,FiNLAND (continued),['FiNLAND (continued)'],52.0,71.91,164.15,84.11,6,0,0,country
162,"Sept. 1 Act to amend [section 1 of] the Act of 12th April, 1935, respecting","['Sept. 1', 'Act to amend [section 1 of] the Act of 12th April, 1935, respecting']",60.0,88.99,368.16,98.69,6,1,2,start
163,"the insurance, of wage-earning employees against (S.A.","['the insurance, of wage-earning employees against', '(S.A.']",109.0,97.41,368.79,106.81,6,2,2,middle
164,or F.F. No. 593),['or F.F. No. 593)'],108.0,105.16,173.0,115.16,6,2,0,end
165,"Sept. 29 Order to amend [section 5 of] the Order of 14th May,","['Sept. 29', 'Order to amend [section 5 of]', 'the Order of 14th May,']",62.0,118.31,340.95,129.24,6,1,1,other
166,respecting the administration of the Act respecting family allow,['respecting the administration of the Act respecting family allow'],109.0,127.16,364.52,137.16,6,2,1,end
167,(S.A. or F.F. No. 667),['(S.A. or F.F. No. 667)'],145.0,135.01,235.38,145.21,6,-1,1,other
168,"Dec. 29 Act to amend the Act of 30th April, 1943, respecting family","['Dec. 29', 'Act to amend the Act of 30th', 'April,', '1943,', 'respecting family']",61.0,148.09,368.92,159.39,6,1,2,start
169,(S.A. or F.F. No. 1046),['(S.A. or F.F. No. 1046)'],166.0,157.09,260.55,167.19,6,-1,1,other
170,"Dec. 30 Order respecting the administration of the Act of 30th April, 1943,","['Dec. 30', 'Order respecting the administration of the Act of 30th April, 1943,']",61.0,171.39,368.63,181.14,6,1,2,start
171,"respecting family [repeals the Order of 14th May,","['respecting family', '[repeals the Order of', '14th May,']",109.0,178.89,368.64,189.39,6,2,2,middle
172,(S.A. or F.F. No. 1047),['(S.A. or F.F. No. 1047)'],146.0,187.54,238.67,197.44,6,-1,1,other
173,"Dec. 30 Resolution respecting the administration of the Act of 30th April,","['Dec. 30', 'Resolution respecting the administration of the Act of 30th April,']",61.0,201.44,368.03,211.36,6,1,2,start
