country,region,text,page,full_date,year
AUSTRALIA,New South Wales,C.S.R. = Commonwealth Statutory Rules. ,2,,0
AUSTRALIA,New South Wales,N.G.G. = New South Wales Government Gasette. ,2,,0
AUSTRALIA,New South Wales,NIG. = New South Wales Industrial Gazette. ,2,,0
AUSTRALIA,New South Wales,"19 L.S. 1925 (Austral. 9). — 2° L.S. 1930 (Austral. 2). —- 2! L.S. 1930 (Austral. 12). L.S. 1932 (Indexes, p. 7, June 30). — 23 L.S. 1926 (Austral. 5); 1927 (Austral. 3); ",2,,0
AUSTRALIA,New South Wales,1929 (Austral. 9). — 74 L.S. 1929 (Austral. 9). (1758) ,2,,0
AUSTRALIA,Queensland,"Feb. 1 Order in Council to amend clauses 17A and 18A [objections to rulings of the Insurance Commissioner] of the Schedule to the Workers’ Compensation Acts, 1916 to 19295. (Q.G.G. vol. CXLII, p. 413) ",3,Feb. 1,0
AUSTRALIA,Queensland,"Feb. 1 Regulation to amend the Regulations under the Workers’ Compensation Acts, 1916 to 1929%5 [objections to Commissioner’s decision]. (Q.G.G. vol. CXLII, p. 427) ",3,Feb. 1,0
AUSTRALIA,Queensland,"Mar. 29 Rules under the Unemployed Workers Insurance Acts, 1922 to 193326, for payment of sustenance to—(1) casual workers; (2) workers in the coal-mining industry; (3) intermittent workers; (4) waterside workers; (5) casual storemen and packers, Brisbane, and {6) casual workers, Roma Street and Rockhampton railway goods sheds, and others [revoke Rules of 6th October, 1932; super- seded by Rules of 22nd August, 1934, see below]. (Q.G.G. vol. CXLII, p. 1174—6) ",3,Mar. 29,0
AUSTRALIA,Queensland,"Mar. 29 Order in Council to declare that section 5A of the Unemployed Workers Insurance Acts, 1922 to 193376, shall apply in respect of the employers of such workers as are employed aS seamen on vessels usually engaged in trading or voyaging between ports in Queensland [§ 5A relates to the payment of contributions in respect of workers employed otherwise than under an award]. (Q.G.G. vol. CXLII, p. 1156) ",3,Mar. 29,0
AUSTRALIA,Queensland,"Apr. 26 Order in Council under the Workers’ Compensation Acts, 1916 to 192975, to order that dependants resident in the Republic of Finland shall have the same rights and remedies under the said Acts as if resident in Queensland. (Q.G.G. vol. CXLII, p. 1382) ",3,Apr. 26,0
AUSTRALIA,Queensland,"Apr. 26 Amendment of the Regulations under the Apprentices and Minors Act of 1929?” [Regulation 34 (boot manufacturing trade)}. (Q.G.G. vol. CXLII, p. 1391) ",3,Apr. 26,0
AUSTRALIA,Queensland,"May 3 Order in Council to declare that section 5A of the Unemployed Workers Insurance Acts, 1922 to 193328, shall apply in respect of the employers of workers employed in the pastoral industry and all workers employed in hospitals except members of religious orders (§ 5A relates to the payment of contributions in respect of workers employed otherwise than under an award]. (Q.G.G. vol. CXLII, p. 1421) ",3,May 3,0
AUSTRALIA,Queensland,"May 3 Order in Council under the Income (Unemployment Relief) Tax Acts, 1930 to 1932, to amend the Order in Council of 16th November, 1933 [re loans under the Acts]. (Q.G.G. vol. CXLII, p. 1421) ",3,May 3,0
AUSTRALIA,Queensland,"May ro Amendment of Regulations under the Apprentices and Minors Act of 1929%” amendment of Regulation 34 (boot manufacturing trade)]. (Q.G.G. vol, CXLII, p. 1515) ",3,May r,0
AUSTRALIA,Queensland,"June 29 Order in Council to extend the provisions of the Income (Unemployment Relief) Tax Acts, 1930 to 1932, for the period of twelve months from 1st July, 1934, to 30th June, 1935, with the additions and amendments set forth in the Schedule attached hereto. (Q.G.G. vol. CXLII, p. 2086) ",3,June 29,0
AUSTRALIA,Queensland,"July 12 Regulation in pursuance of ‘‘ The Navigation Acts, 1876—1930”’: marking of weights on certain heavy packages or articles loaded at Queensland ports. (Q.G.G. vol. CXLIIJ, p. 162) Text: Austral. 2 ",3,July 12,0
AUSTRALIA,Queensland,Q.G.G. = Queensland Government Gazeite. ,3,,0
AUSTRALIA,Queensland,"25 L.S. 1925 (Austral. 5); 1926 (Austral. 8); 1929 (Austral. 8). The Acts (Schedule and Tables) have also been amended by Orders in Council dated z9th January, 1925, zr9th December, 1929, 22nd May, 1930, and 19th October, 1933 (see Indexes to the Legis- lative Series). —- 2° L.S. 1922 (Austral. 2); 1927 (Austral. 5); 1930 (Austral. 8); 1931 ",3,,0
AUSTRALIA,Queensland,(Austral. 2); 1933 (Austral. 3). — ?? L.S. 1929 (Austral. 7). ,3,,0
AUSTRALIA,Queensland,(1759) — 9 — ,4,,0
AUSTRALIA,Queenstand,"July 19 Regulations under the Workers’ Compensation (Lead Poisoning, Mount Isa) Act of 193398. (Q.G.G. vol. CXLIII, p. 181) ",4,July 19,0
AUSTRALIA,Queenstand,"July 26 Order in Council under the Apprentices and Minors Act of 1929?"": certificates of competency. (Q.G.G. vol. CXLIII, p. 255) ",4,July 26,0
AUSTRALIA,Queenstand,"July 26 Regulation to amend the Regulations under the Apprentices and Minors Act of 19292"": proportionate permissible number of apprentices in the boot manu- facturing trade. (Q.G.G. vol. CXLIII, p. 269) ",4,July 26,0
AUSTRALIA,Queenstand,"July 26 Regulations under the Apprentices and Minors Act of 192927: wages and conditions of employment of apprentices and minors in the coach and motor body building industry. (Q.G.G. vol. CXLIII, p. 270) ",4,July 26,0
AUSTRALIA,Queenstand,"Aug. 22 Rules for payment of sustenance under the Unemployed Workers Insurance Acts, 1922 to 1933°%° fin supersession of the Rules of 29th March, 1934]. (Q.G.G. vol. CXLIII, pp. 523—5) ",4,Aug. 22,0
AUSTRALIA,Queenstand,"Aug. 23. Order in Council under the Unemployed Workers’ Insurance Acts, 1922 to 19337, to repeal paragraph (c) of the Schedule and insert the following para- graph in lieu thereof:— ‘‘ No person shall receive sustenance allowance for more than fourteen weeks within any one calendar year.’’ (Q.G.G. vol.CXLIII, Pp. 514) ",4,Aug. 23,0
AUSTRALIA,Queenstand,"Oct. 18 Act no. ro, to amend ‘‘ The Industrial Conciliation and Arbitration Act of 1932 ’29 in certain particulars. Text: Austral. 5 ",4,Oct. 18,0
AUSTRALIA,Queenstand,"Oct. 25 Order in Council to add to the list of diseases and employments mentioned in the Table of Industrial Diseases set forth in section 14 A of the Workers’ Compensation Acts, 1916 to 193325, by inserting in the column of the said Table headed ‘‘ Description of disease ’’ the words ‘‘ Weil’s disease, an infectious disease due to the presence of the micro-organism Leptospira Icterohe- morrhagia”’, and by inserting opposite thereto in the column headed Description of employment’’ the words ‘‘ Any employment involving the handling of sugar-cane’’. (Q.G.G. vol. CXLIII, p. 1159) ",4,Oct. 25,0
AUSTRALIA,Queenstand,"Nov. 15 Amendment of the Regulations of 19th July, 1934, under the Workers’ Compensation (Lead Poisoning, Mount Isa) Act of 193378. (Q.G.G. vol. CXLIII, p. 1374) ",4,Nov. 15,0
AUSTRALIA,Queenstand,"Nov. 29 Act no, 25, to amend the Railways Acts, 1914 to 1929, in certain particulars method of promotion of employees; Appeal Board]. F ",4,Nov. 29,0
AUSTRALIA,Queenstand,"Dec. 12 Act no. 34, to amend ‘‘ Fhe Apprentices and Minors Act of 1929’? in certain particulars. Text: Austral. 6 ",4,Dec. 12,0
AUSTRALIA,Queenstand,"Dec. 20 Act no. 38, to amend the Aboriginals Protection and Restriction of the Sale of Opium Acts®° in certain particulars, and to enable the establishment and carrying on of an Aboriginal Industries Board; and for other purposes. Extracts: Austral. 7 ",4,Dec. 20,0
AUSTRALIA,Queenstand,"Dec. 20 Act no. 39, to amend ‘‘ The Workers’ Compensation Acts, 1916 to 1929 2725 in certain particulars. Text: Austral. 8 ",4,Dec. 20,0
AUSTRALIA,Queenstand,"Dec. 20 Regulations under the Pest Destroyers Act of 1923 [labelling and sale of preparations]. (Q.G.G. vol. CXLIII, p. 1807) ",4,Dec. 20,0
AUSTRALIA,Queenstand,"Dec. 20 Regulation under the Workers’ Compensation Acts, 1916 to 19332° [amendment of the Industrial and Mining Diseases Compensation Regulations of 1917, as amended; applications for compensation]. (Q.G.G. vol. CXLIII, p. 1813) ",4,Dec. 20,0
AUSTRALIA,Queenstand,"Dec. 20 Order in Council under the Income (Unemployment Relief) Fax Acts, 1930 to 1932, to amend certain Orders in Council 1932 to 1934 [re loans to a borrower who is a bona fide cotton grower]. (Q.G.G. vol. CNLIII, p. 1859) ",4,Dec. 20,0
AUSTRALIA,Queenstand,"Dec. 20 Order in Council to amend the list of diseases and employments mentioned in the Table of Industrial Diseases set forth in section 14A of the Workers’ Compensation Acts, 1916 to 193375, by inserting in the column of the said Table headed ‘‘ Description of disease”’ the words ‘‘ X-ray disease, X-ray ",4,Dec. 20,0
AUSTRALIA,Queenstand,Q.G.G. = Queensland Government Gazette. ,4,,0
AUSTRALIA,Queenstand,"28 L.S. 1933 (Austral. 4). — 9° L.S. 1933 (Austral. 1). —- 3° Extracts (ss. r2—15), ",4,,0
AUSTRALIA,Queenstand,"L.S. 1926 (Austral. 6, appendix). 10 — (1760) ",4,,0
AUSTRALIA,Queensland,"Dec. 20 Proclamation to appoint the 22nd December, 1934, as the date on which the Aboriginals Protection and Sale of Opium Acts Amendment Act of 1934 shall come into operation. (Q.G.G. vol. CXLIII, p. 1869) ",5,Dec. 20,0
AUSTRALIA,South Australia,"Mar. 22 Regulations under the Mining Acts, 1930 and 1931. (South Australian Government Gazette, no. 13, p. 859) ",5,Mar. 22,0
AUSTRALIA,South Australia,"Apr. rr Act no. 2142, to amend the Marine Board and Navigation Acts, 1881 to 1924 inter alsa, survey of ships, load-line certificates, etc.]. ",5,Apr. r,0
AUSTRALIA,South Australia,"June 28 Regulations under the Inflammable Oils Acts, 1908 to 1933. (South Australian Government Gazette, no. 28, p. 1513) ",5,June 28,0
AUSTRALIA,South Australia,"Oct. 18 Act no. 2150, to consolidate the Acts usually known as the ‘‘ Employers’ Liability Acts ’’. ",5,Oct. 18,0
AUSTRALIA,South Australia,"Oct. 18 Act no. 2154, to consolidate certain Acts relating to the protection and control of the aboriginal and half-caste inhabitants of South Australia. ",5,Oct. 18,0
AUSTRALIA,South Australia,"Oct. 25 Act no. 2156, to consolidate and amend certain Acts relating to municipal corporations and district councils, and to amend various other Acts Part XXVIII (§§ 556—573), manufacturing districts and noisy trades; Part XX XIX (§§ 667—691), power to make by-laws and regulations, «ter alia for street trading, motor vehicles, noxious or offensive trades; § 895 amends 139, subsection (1), and section 167 of the Industrial Code, 1920°!}. Local Government Act, 1934. ",5,Oct. 25,0
AUSTRALIA,South Australia,"Nov. 8 Act no. 216x, to consolidate certain Acts providing for the inspection of scaffolding, and for other purposes. ",5,Nov. 8,0
AUSTRALIA,South Australia,"Nov. 15 Act no. 2168, to revise the Statute law and for other purposes [tnter alia amends the Lifts Regulation Act, no. 949 of 1908, the White Phosphorus Matches Prohibition Act, no. 1202 of 1915, the Employees Registry Offices Act, no. 1218 of 1915, and the Technical Education of Apprentices Act, no. 1294 of 1917; the amendment substitutes references to the Industrial Code, 1920%1, for references to the Factories Act, 1907 to 1915, and in the case of the first three Acts provides that proceedings in respect of offences against the Acts shall be disposed of summarily]. ",5,Nov. 15,0
AUSTRALIA,South Australia,"Nov. 22 Act no. 2175, to amend the Insecticides Act, 1919, and for other purposes. ",5,Nov. 22,0
AUSTRALIA,South Australia,"Nov. 22 Regulations under the Inflammable Oils Acts, rg08—1933, made on the recommendation of the South Australian Harbors Board [requirements for vessels]. (South Australian Government Gazette, no. 51, p. 1086) ",5,Nov. 22,0
AUSTRALIA,South Australia,"Nov. 29 Act no. 2181, to regulate the marketing of dried fruits, and for other purposes 33 (z) (c), Governor may make regulations for the inspection of packing houses, drying grounds, stores and the machinery, implements, etc. used in connection therewith]. ",5,Nov. 29,0
AUSTRALIA,South Australia,"Noy, 29 Act no. 2183, to consolidate certain Acts relating to road traffic [§§ 30—39, licensing of drivers (§ 33, minimum age of drivers—16 years for motor vehicles and 14 years for motor cycles)]. ",5,"Noy, 29",0
AUSTRALIA,South Australia,"Nov. 29 Act no. 2194, to consolidate and amend the statute law relating to hawkers. ",5,Nov. 29,0
AUSTRALIA,Tasmania,"Jan. ro Act to amend the Wages Boards Act, 192032. 24 Geo. V, no. 37. Text: Austral. 3 ",5,Jan. r,0
AUSTRALIA,Tasmania,"jan. 10 Act to amend the Workers’ Compensation Act, 1927. 24 Geo. V, no. 42. ",5,jan. 10,0
AUSTRALIA,Tasmania,Q.G.G. = Queensland Government Gazette. ,5,,0
AUSTRALIA,Tasmania,31 L.S. 1926 (Austral. 1). — 32 L.S. 1924 (Austral. 1); 1929 (Austral. r). ,5,,0
AUSTRALIA,Tasmania,(176r) — II — ,6,,0
AUSTRALIA,Tasmania,"Jan. ro Act to amend the Workers’ (Occupational Diseases) Relief Fund Act, 192838, 24 Geo. V, no. 47. Text: Austral. 13 (A) ",6,Jan. r,0
AUSTRALIA,Tasmania,"Jan. ro Act to amend the Public Works (Unemployinent Relief) Execution Act, 1933. 24 Geo. V, no. 53. ",6,Jan. r,0
AUSTRALIA,Tasmania,"Jan. ro Act to provide for the execution of certain public works. 24 Geo. V, no. 55. ",6,Jan. r,0
AUSTRALIA,Tasmania,"Mar. 6 Regulations under the Workers’ Compensation Act, 1927, and amendments forrn for applications and certificates of exemption]. (Tasmanian Government Gazette, no. 9855, p. 408) ",6,Mar. 6,0
AUSTRALIA,Tasmania,"Apr. 2 Regulations for the licensing of electrical contractors and wiremen. (op. cif. no. 9881, p. 862) ",6,Apr. 2,0
AUSTRALIA,Tasmania,"July 6 Regulations under the Traffic Act, 1925, and the Motor-Vehicles Tax Act, 1917 [21—30, drivers’ licences for motor vehicles; age limit 21 years]. (op. cit. no. 9909, P. 1913) ",6,July 6,0
AUSTRALIA,Tasmania,"july 27 Act to provide out of the Consolidated Revenue a sum of Forty thousand pounds for the purposes of the relief of unemployment. 25 Geo. V, no. 6. ",6,july 27,0
AUSTRALIA,Tasmania,"Nov. 2 Act to amend the Factories Act, 191034. 25 Geo. V, no. 12. Text: Austral. 14 ",6,Nov. 2,0
AUSTRALIA,Tasmania,"Dec. 13 Act to amend the Workers’ Compensation Act, 1927. 25 Geo. V, no. 67. ",6,Dec. 13,0
AUSTRALIA,Tasmania,"Dec. 13 Act to amend the Unemploved (Assistance to Primary Producers) Relief Act, 1930. 25 Geo. V, no. 82. ",6,Dec. 13,0
AUSTRALIA,Victoria,"Sept. 6 Act no. 4220, to amend the State Electricity Commission Acts and for other purposes [licensing of electrical mechanics, etc.]. ",6,Sept. 6,0
AUSTRALIA,Victoria,"Sept. 6 Act no. 4221, relating to public holidays and bank holidays. ",6,Sept. 6,0
AUSTRALIA,Victoria,"Sept. 29 Act no. 4225, to amend the Friendly Societies Act, 1928. ",6,Sept. 29,0
AUSTRALIA,Victoria,"Sept. 20 Act no. 4242, to declare the rates of unemployment relief tax for the year ending on the thirtieth day of June, one thousand nine hundred and thirty- five. ",6,Sept. 20,0
AUSTRALIA,Victoria,"Sept. 29 Act no. 4244, to amend sections three and five of the Unemployment Relief Loan and Application Act, 1932. ",6,Sept. 29,0
AUSTRALIA,Victoria,"Oct. 9 Act no. 4275, to amend the law relating to the supervision and regulation of factories and shops and to other industrial matters. Text: Austral. 11 ",6,Oct. 9,0
AUSTRALIA,Western Australia,"Jan. 4 Act no. 42 of 1933, to provide for the improvernent and for the co-ordination of means of and facilities for transport [hours of employment of drivers of motor vehicles]. Extracts: Austral. i ",6,Jan. 4,0
AUSTRALIA,Western Australia,"Feb. 21 Amendment of Regulation 9 of the Regulations under the Coal Mines Regulation Act, 1902—1926 [rate of compensation for disablement]. (G.W.A. p- 259} ",6,Feb. 21,0
AUSTRALIA,Western Australia,"May 14 Amendment of Rules 32 and 33 of the Local Court (Workers’ Compensation) Rules, dated r4th February, 1913. (G.W.A. p. 721) ",6,May 14,0
AUSTRALIA,Western Australia,"Mav 2r Regulations under the Financial Emergency Tax Assessment Act, 1932 (no. 20 of 1932), and the Financial Emergency Tax Assessment Act Amend- ment Act (no. 15 of 1933) [rules for deduction of tax from salaries and wages}. (G.W.A. p. 748) ",6,Mav 2r,0
AUSTRALIA,Western Australia,"July 17. Amendment of the Regulations under the Inspection of Machinery Act, 1921, relating to the conduct of examinations, qualifications of applicants and the granting of certificates to cngine-drivers, crane and hoist-drivers and boiler attendants. (G.W.A. p. 1022) ",6,July 17,0
AUSTRALIA,Western Australia,"Aug. 2x Regulations under the Mines Regulation Act, 1906 [supersede Regulation 6a and Forms G and H in Appendix (forms for applications for permits to work underground, i.e. attesting freedom from tuberculosis and silicosis)]. (G.W.A. Pp. 1195) ",6,Aug. 2,0
AUSTRALIA,Western Australia,G.W.A. = Government Gazette of Western Australia. ,6,,0
AUSTRALIA,Western Australia,"33 LS. 1929 (Austral. 2). — 34 Consolidated text, Bulletin of the International Labour ",6,,0
AUSTRALIA,Western Australia,"Office (Basle), vol. VIII, 1913, p. 395. 12 — (1762) ",6,Offi,0
AUSTRALIA,Western Australia,"Aug. 21 Regulation under the Mine Workers’ Relief Act, 193275 {adds new Regulation 56 (penalties) to Regulations, dated 25th January, 1933}. (G.W.A. p. 1195) ",7,Aug. 21,0
AUSTRALIA,Western Australia,"Aug. 24 Amendment of Regulations under the Fremantle Harbour Trust Act [inter alta, inarking of weight on heavy packages]. (G.W.A. p. 1237) Extract: Austral. 4 (A) ",7,Aug. 24,0
AUSTRALIA,Western Australia,"Sept. 12 Regulations under the Jetties Act, 1926, to amend the Jetties Regulations heretofore made under the provisions of ‘‘ The Jetties Regulation Act, 1878 ”’ marking of weight on heavy packages}. (G.W.A. p. 1451)Text: Austral. 4 (B) ",7,Sept. 12,0
AUSTRALIA,Western Australia,"Sept. 12 Regulations made under the Child Welfare Act, 1907—27 [§§ 36—54, wards apprenticed or placed out in service; §§ 55—60, children performing in public; 61—65, street trading by children}. (G.W.A. p. 1482) ",7,Sept. 12,0
AUSTRALIA,Western Australia,"Sept. 17 Amendment of the Regulations under the Bunbury Harbour Board Act, Igo9 {marking of weight on heavy packages]. (G.W.A. p. 1451) Text: Austral. 4 (C) ",7,Sept. 17,0
AUSTRALIA,Western Australia,"Nov. 14 Regulations under the Mines Regulation Act, 1906 {supersede all previous Regulations; no. 4, general rules (ventilation, prevention of dust, etc.); nos. 6—7, exclusion of persons suffering from tuberculosis, silicosis, anklyo- stomiasis, etc., from work underground; no. 8, medical certificate for winding engine drivers; no. 9, code of signals; no. 10, plans of mines; nos. 11—16, safety (testing of winding ropes, etc., use of electricity, fire prevention, shot firing); No. 17, inspectors of mines (including workmen’s inspectors)]. (G.W.A. Pp. 1753) . , ",7,Nov. 14,0
AUSTRALIA,Western Australia,"Dec. 28 Act no. 31, to impose and fix the rate of a tax to be called the Financial Emergency Tax upon income, salary and wages. ",7,Dec. 28,0
AUSTRALIA,Western Australia,"Dec. 28 Act no. 32, to amend sections four and nine of the Financial Emergency Tax Assessment Tax, 1932. ",7,Dec. 28,0
AUSTRALIA,Western Australia,"Dec. 28 Amendment of the General Rules under no. 4 of the Regulations, and addi- tional Regulation 17A, under the Mines Regulation Act, 1906 [safety and hygiene}. (G.W.A. 1935, Pp. 632) TERRITORIES ",7,Dec. 28,0
AUSTRALIA,Northern Territory,"Mar. 14 Ordinance no. 5, to amend the Workmen’s Compensation Ordinances 1931. (C.A.G. p. 442) ",7,Mar. 14,0
AUSTRALIA,Northern Territory,"Nov. 21 Ordinance no. 22, to amend the Pearling Ordinance 1930—1931°? [§ 4, certain licences not to be granted to aliens; § 9 adds new Division 6 (pearl cleaners’ licences)}. (C.A.G. p. gro) ",7,Nov. 21,0
AUSTRALIA,Northern Territory,"Dec. 5 Ordinance no. 23, to amend the State Children Acts, 1895 to 1909, of the State of South Australia in its application to the Northern Territory. (C.A.G. p. 2486) ",7,Dec. 5,0
AUSTRALIA,Northern Territory,"Dec. 5 Ordinance no. 24, to amend the Northern Territory Mining Act 1903 of the State of South Australia, in its application to the Northern Territory, as amended by the Mining Ordinance 1927—1934 of the Northern Territory. (C.A.G, p. 2487) ",7,Dec. 5,0
AUSTRALIA,Papua,"Jan. 2 Statutory Rule no. 1: amendment of schedule 2 of the Native Labour Regulations, 1933 [daily and weekly ration scale}. ",7,Jan. 2,0
AUSTRALIA,Papua,"Aug. 27 Ordinance no. Io, to regulate mining for petroleum. ",7,Aug. 27,0
AUSTRALIA,Papua,"Oct. 3 Ordinance no. 12, to amend the Pearl, Pearl-Shell and Béche-de-mer Ordinance, Ig lI—1923. ",7,Oct. 3,0
